logFC	logCPM	PValue	adj.p.value
SPTBN2	-0.766803	3.64403	1.09431e-08	4.17753e-06
PTPRU	-0.669826	4.23688	1.13997e-08	4.33652e-06
LCN8	-1.41863	1.88287	1.198e-08	4.50962e-06
ARRDC1	-1.2664	2.47214	1.21412e-08	4.52303e-06
FBRSL1	-0.959456	3.62834	1.30987e-08	4.79702e-06
CACTIN	-0.989236	3.13201	1.48102e-08	5.2806e-06
CLCN7	-1.62033	1.53956	1.4962e-08	5.31109e-06
TBX1	-1.07813	2.86397	1.49941e-08	5.31109e-06
DHX37	-0.77857	3.47032	1.54748e-08	5.44567e-06
TYRO3	-0.805068	3.23951	1.95433e-08	6.66044e-06
PTPRF	-0.612584	4.76349	1.96556e-08	6.6607e-06
PKN1	-0.839403	3.50482	2.07426e-08	7.00291e-06
OSBP2	-0.615006	4.394	2.18179e-08	7.27499e-06
CLK3	-0.862323	3.48992	2.28231e-08	7.4945e-06
CERS4	-0.849843	3.3896	2.29734e-08	7.52099e-06
SPPL2B	-1.36193	2.60767	2.31079e-08	7.54219e-06
RHOBTB1	0.680911	3.73606	2.49908e-08	8.03536e-06
ILF3	-1.05617	3.04295	2.55361e-08	8.18634e-06
NDRG4	-0.728551	3.67184	2.95595e-08	9.1503e-06
ARPC1B	-1.04795	3.09696	3.20609e-08	9.81217e-06
RNF126	-1.64128	1.76601	3.2735e-08	9.97927e-06
ADCY1	-0.935574	2.68789	3.46604e-08	1.04596e-05
WFS1	-0.912601	3.09541	3.68633e-08	1.10015e-05
POLRMT	-1.19964	2.70528	3.73939e-08	1.10985e-05
DPP6	-0.549073	4.3207	4.6586e-08	1.32984e-05
MGRN1	-0.757123	3.57031	4.66523e-08	1.32984e-05
KLF9	1.29779	2.25663	4.73992e-08	1.34757e-05
GNA11	-1.1106	2.27298	4.98857e-08	1.41084e-05
COL6A2	-0.97237	2.77265	5.69293e-08	1.58107e-05
CEP95	-0.85446	2.81443	5.80447e-08	1.59971e-05
COL1A1	-0.85984	3.29453	6.09078e-08	1.6616e-05
MUC6	-0.97875	3.51414	6.31308e-08	1.70577e-05
ARHGEF4	-0.658626	3.72224	6.33139e-08	1.70577e-05
NPHP4	-0.707668	3.62827	6.40266e-08	1.72067e-05
INF2	-1.22685	2.88242	6.69228e-08	1.78079e-05
SMARCA4	-0.849779	3.39553	7.06837e-08	1.85798e-05
TNXB	-0.70271	3.49999	7.29617e-08	1.90397e-05
RAB26	-1.15379	2.24134	7.37791e-08	1.91604e-05
RASGRP3	0.577248	4.0536	7.64772e-08	1.96252e-05
SYT2	-1.08336	2.57622	7.82403e-08	2.00301e-05
CPED1	0.735761	3.52825	8.006e-08	2.03993e-05
PAK4	-0.809557	3.54802	8.70767e-08	2.18267e-05
HID1	-1.10998	2.5896	8.86887e-08	2.21281e-05
RPL7P3	-2.88789	0.523681	9.65896e-08	2.38789e-05
SCRIB	-1.09152	2.73875	9.88904e-08	2.43363e-05
C1orf159	-0.864923	3.67144	1.01398e-07	2.48226e-05
CROCC	-0.741317	4.40388	1.03463e-07	2.5193e-05
ATP2A3	-0.943564	3.51177	1.03538e-07	2.5193e-05
AGAP3	-0.743122	4.25298	1.09432e-07	2.64486e-05
TCEA2	-1.00184	2.75855	1.19098e-07	2.82165e-05
IGSF9B	-0.662041	3.72556	1.22846e-07	2.87888e-05
COL5A1	-0.742176	3.683	1.29229e-07	3.00241e-05
CEP131	-0.937353	2.93333	1.38777e-07	3.16972e-05
PQLC2	-1.60557	1.43428	1.42013e-07	3.23678e-05
ADAMTSL2	-1.36707	1.73116	1.48244e-07	3.36462e-05
HMHA1	-1.22751	2.9564	1.53982e-07	3.45207e-05
HCFC1	-1.40632	1.48938	1.54777e-07	3.46197e-05
DUSP1	1.1597	2.07258	1.59706e-07	3.55748e-05
C21orf2	-3.51746	-0.114668	1.65699e-07	3.65332e-05
MTG2	-1.00585	2.68797	1.67559e-07	3.67932e-05
AGRN	-1.21972	3.34301	1.68072e-07	3.68309e-05
LRRC2	1.11664	2.16082	1.72167e-07	3.74246e-05
SLC39A4	-1.33214	2.18703	1.72894e-07	3.75073e-05
COL6A1	-0.850424	3.24947	1.74502e-07	3.77046e-05
POLD1	-1.01617	2.83697	1.77957e-07	3.82979e-05
EVI5L	-1.05483	3.43566	1.78683e-07	3.83778e-05
MAPK8IP1	-1.03798	2.93892	1.79364e-07	3.84475e-05
METRNL	-0.811258	3.00353	1.9066e-07	4.02304e-05
TACC3	-1.08971	3.15524	2.01903e-07	4.21093e-05
COL7A1	-0.839129	3.28801	2.0457e-07	4.25014e-05
ADAMTSL4-AS1	1.17479	2.04281	2.17922e-07	4.45051e-05
PDLIM4	-0.884528	3.13554	2.28599e-07	4.62491e-05
HEXDC	-1.24746	2.22842	2.28602e-07	4.62491e-05
CPAMD8	-0.643694	3.92275	2.38182e-07	4.77402e-05
RNPEPL1	-1.49532	1.57611	2.3994e-07	4.80036e-05
BAIAP2	-0.706009	4.42986	2.43481e-07	4.86219e-05
KMT2B	-1.13474	2.67591	2.52456e-07	4.97702e-05
PLEKHG5	-0.775315	3.99062	2.64553e-07	5.13123e-05
SCAMP4	-1.20182	2.66939	2.70973e-07	5.23694e-05
RAB40B	-0.752583	3.0489	2.74711e-07	5.29026e-05
RADIL	-0.741678	3.52933	2.87066e-07	5.47936e-05
SLC19A1	-0.778256	3.7602	2.98849e-07	5.68419e-05
COL13A1	-0.563938	4.10867	3.02881e-07	5.74067e-05
ARHGEF1	-0.750451	3.79029	3.06542e-07	5.79986e-05
TCF7	-0.800685	3.36777	3.44207e-07	6.38604e-05
ABCA2	-1.31396	3.04179	3.59427e-07	6.62639e-05
OLFM2	-0.760539	2.98896	3.64221e-07	6.68506e-05
QTRT1	-1.07084	2.29868	3.66836e-07	6.71715e-05
STMN3	-1.64566	1.10334	3.80855e-07	6.92688e-05
KCNIP3	-0.915592	3.28754	3.89247e-07	7.02366e-05
CCND1	-1.23067	2.62242	3.98208e-07	7.12259e-05
PANK4	-1.08966	2.66095	4.37694e-07	7.63915e-05
FZR1	-1.31948	2.68462	4.38413e-07	7.63935e-05
ABCB9	-0.799539	3.54682	4.39544e-07	7.64673e-05
PDE9A	-0.691617	3.65641	4.49861e-07	7.78859e-05
CKB	-1.44661	2.05316	4.52287e-07	7.81806e-05
XRCC3	-1.31603	2.2579	4.64939e-07	7.97296e-05
HNRNPM	-0.904667	2.72298	4.70298e-07	8.03934e-05
CLUH	-0.976124	2.56599	4.73113e-07	8.07469e-05
ACAP3	-1.41504	2.02057	4.80875e-07	8.18131e-05
MAPK8IP3	-1.33848	3.16805	5.14115e-07	8.63801e-05
MICALL2	-1.03039	3.32263	5.59007e-07	9.24844e-05
MCL1	1.60702	1.35387	5.75398e-07	9.50506e-05
RP13-554M15.7	-1.60026	1.77542	5.76354e-07	9.50633e-05
WBP1L	0.910931	2.74217	5.81049e-07	9.56915e-05
ARHGAP33	-0.78026	2.75764	5.86771e-07	9.64868e-05
LTBP2	-0.815001	3.06065	6.355e-07	0.000103398
ZNF598	-1.63865	1.37551	6.42046e-07	0.000104306
SH3BP5L	-1.25878	1.91447	6.63873e-07	0.000106791
ADAMTS10	-0.699735	3.48183	7.33843e-07	0.000115908
INPP5D	-0.539948	4.17014	7.62316e-07	0.000119879
AKT1	-1.07282	3.4812	7.69841e-07	0.000120886
SOX6	0.497653	4.58974	8.0153e-07	0.000124237
BCR	-0.611062	4.2597	8.17312e-07	0.000126031
IDUA	-1.43662	2.26685	8.27377e-07	0.000126968
GNAZ	-0.967759	2.31915	8.606e-07	0.000130035
SYMPK	-0.927083	2.98193	8.66198e-07	0.000130516
TEX264	-0.999186	3.20201	8.74113e-07	0.000130978
TTYH2	-0.793839	3.15817	8.88562e-07	0.000132307
MANEAL	-1.37307	1.49899	8.89111e-07	0.000132307
GPR56	-0.664832	4.13993	9.10619e-07	0.000134765
STAB1	-1.04591	3.38884	9.29497e-07	0.00013681
CFAP46	-0.737592	3.93161	9.91722e-07	0.000144006
SEMA6B	-0.886052	2.48276	1.01291e-06	0.000146492
LIPE	-0.86783	2.45007	1.02704e-06	0.000148139
ITGB4	-0.701611	3.89651	1.03374e-06	0.000148715
ARPC1A	-0.795408	2.74477	1.03378e-06	0.000148715
FAM73B	-0.984235	3.00646	1.055e-06	0.000150963
EGFL8	-1.45544	1.00455	1.08156e-06	0.000153948
SGSM2	-1.00678	2.05552	1.11933e-06	0.000157868
MAEA	-0.74344	3.48652	1.13367e-06	0.000159682
WDR18	-1.19288	2.7548	1.1422e-06	0.000160465
HDGFRP2;	-1.16797	2.52545	1.16899e-06	0.000163802
TELO2	-1.16908	2.86875	1.21848e-06	0.000169201
TMEM259	-1.58854	1.44524	1.22482e-06	0.000169645
SLC12A7	-0.905082	3.22465	1.35672e-06	0.000183906
PLXND1	-0.722487	4.24238	1.47802e-06	0.000198851
PEX10	-1.15527	2.28928	1.48297e-06	0.000199269
STK10	-0.500558	4.34184	1.50017e-06	0.000200831
MFI2	-0.843071	2.76751	1.50316e-06	0.000200982
ASB13	-0.78915	2.82479	1.50698e-06	0.000200995
MED16	-1.15192	2.53726	1.55217e-06	0.000206259
MCF2L	-0.585285	5.20543	1.60303e-06	0.000210942
SLC17A7	-0.980511	2.55754	1.60967e-06	0.000211558
SGTA	-1.0428	2.51495	1.62573e-06	0.000213409
UBE2J2	-1.13198	2.08132	1.62978e-06	0.000213681
ANGPTL1	1.41377	1.351	1.63571e-06	0.000214199
SNF8	-1.21925	1.68011	1.72187e-06	0.000223189
EEF1D	-0.881715	2.65363	1.72203e-06	0.000223189
MCOLN1	-1.21207	1.58874	1.72296e-06	0.000223189
SAFB	-0.820626	2.91493	1.7486e-06	0.00022624
ARRB1	-0.572408	4.04438	1.83349e-06	0.000235531
CAMK2G	-0.618182	3.43552	1.84695e-06	0.000236353
BTBD2	-1.0023	2.11507	1.87018e-06	0.00023798
PPIL2	-0.708108	3.14913	1.87776e-06	0.000238383
PRKG1	0.633921	3.64931	1.89312e-06	0.000239769
CPSF4	-1.06878	2.02603	1.92928e-06	0.000243493
MLXIPL	-0.713232	3.10287	1.93912e-06	0.000244318
FLOT2	-1.05612	2.1519	1.94034e-06	0.000244318
PPL	-0.841199	2.99126	2.03568e-06	0.000252495
LAMA5	-0.901583	3.96734	2.04342e-06	0.000252495
SLC17A9	-0.992828	2.81105	2.06117e-06	0.000253909
DNM2	-0.799919	4.11794	2.07727e-06	0.000255602
CTC-297N7.7	0.970234	2.62946	2.11232e-06	0.000258442
ASIC3	-1.12878	2.00653	2.14585e-06	0.000260773
GTPBP6	-1.66503	1.57112	2.19912e-06	0.000265642
CRMP1	-0.727558	3.17224	2.20121e-06	0.000265642
NADK	-0.798664	3.02256	2.29135e-06	0.000274442
TRPM2-AS	-1.31817	1.70187	2.39739e-06	0.000283993
CHFR	-0.625259	3.39437	2.49569e-06	0.00029275
SYNCRIP	0.945835	2.15156	2.52109e-06	0.000294768
DYNC1H1	-0.788875	3.30405	2.58289e-06	0.000300745
COL18A1	-1.28599	2.9544	2.65323e-06	0.000306569
NR4A2	0.775924	3.32481	2.75427e-06	0.000315878
CAPN15	-1.9245	0.660756	2.77658e-06	0.000318033
CYP26B1	-0.961822	2.37882	2.78315e-06	0.000318033
ADAM8	-0.926459	3.02876	2.8083e-06	0.000319699
MEF2BNB	-1.50821	1.17715	2.88742e-06	0.000327327
CAD	-0.671549	3.21963	2.8931e-06	0.000327627
LY6E	-1.41063	1.18374	2.90739e-06	0.000328601
DUSP19	1.25146	1.33162	3.05369e-06	0.000343294
GPAA1	-1.8263	1.00195	3.12803e-06	0.000349153
GALNS	-0.769698	3.0152	3.12886e-06	0.000349153
NOC4L	-1.36912	1.20656	3.26367e-06	0.00035942
PLEKHG4	-0.870927	2.78293	3.38688e-06	0.000371474
MYO9B	-0.79088	3.21198	3.40136e-06	0.000372306
CTB-52I2.4	1.02078	2.67654	3.41148e-06	0.000373036
SIK2	0.854039	2.30721	3.4824e-06	0.000378985
COL18A1-AS1	-1.85785	1.55546	3.51891e-06	0.000381692
SMPD4	-0.921625	2.52759	3.56686e-06	0.000385345
PCNXL3	-1.06009	2.81668	3.77745e-06	0.00040167
NCLN	-0.808085	3.16619	3.78424e-06	0.000401954
NXF1	-1.30384	1.48192	3.80462e-06	0.000402972
KIAA0319L	-0.936348	3.21048	3.8275e-06	0.000403419
ATG2A	-1.62245	0.916882	4.09941e-06	0.000424214
TMC4	-1.15544	2.28807	4.28603e-06	0.000439318
PTPN6	-0.853565	2.4764	4.33109e-06	0.000443516
UPF1	-0.788991	3.41919	4.34026e-06	0.000444034
CTD-2003C8.2	1.13027	1.91201	4.36261e-06	0.000445899
ISLR2	-1.5877	1.20823	4.51194e-06	0.000455984
ATP13A1	-1.0816	2.77086	4.73381e-06	0.000475737
GOLGA2	-1.06162	1.78221	4.83173e-06	0.000482436
CCDC57	-0.635297	4.29159	4.93716e-06	0.000490245
LRRC30	1.14042	2.09331	5.04063e-06	0.000498229
PNPLA6	-0.810747	3.35575	5.08058e-06	0.000500347
HTT	-0.483921	4.0538	5.09337e-06	0.000500785
DNMT1	-0.607585	4.53438	5.14146e-06	0.000504045
TMEM184A	-0.615684	3.61691	5.29773e-06	0.000516087
FGFR4	-0.926752	2.88004	5.43302e-06	0.000524537
DNAH17	-0.58023	4.48373	5.55e-06	0.000533072
HIC2	-1.62586	0.637686	5.66951e-06	0.00054204
HES1	1.01614	2.1572	5.69932e-06	0.000544061
MOB2	-0.763052	3.48695	5.70072e-06	0.000544061
GRK6	-0.948668	2.56552	5.73208e-06	0.000546571
SLC26A6	-1.17438	1.77291	5.89393e-06	0.000557121
WIZ	-0.890475	3.1987	5.9316e-06	0.000558693
AXIN1	-0.814281	2.85544	5.98223e-06	0.000562189
LZTR1	-1.14622	2.60581	5.98778e-06	0.000562189
CAPN5	-0.610636	3.30417	6.00377e-06	0.000562189
RPS6KL1	-0.773141	3.11165	6.00514e-06	0.000562189
PRSS53	-1.9051	1.06386	6.24236e-06	0.000579874
PK	0.736647	2.79815	6.43259e-06	0.000591255
BAHCC1	-1.2276	2.75325	6.43906e-06	0.000591255
INPP5A	-0.683518	3.507	6.47746e-06	0.000593548
SCARF2	-1.15858	2.65322	6.55315e-06	0.000597948
MYO15A	-0.655289	4.07527	6.56276e-06	0.000598319
CBX4	-1.22679	1.89007	6.78848e-06	0.000612693
LAD1	-0.812252	2.73173	7.01996e-06	0.000629902
THOP1	-0.801332	3.07519	7.09338e-06	0.000634382
MXRA8	-0.959254	2.31804	7.10139e-06	0.000634573
ZDHHC18	-0.814165	2.81995	7.15841e-06	0.000637151
ERBB2	-0.778081	3.12142	7.19636e-06	0.000639358
LRP5	-0.809657	3.64374	7.25803e-06	0.000641735
SCNN1D	-1.10752	2.15098	7.26348e-06	0.000641735
PODNL1	-1.06131	2.36394	7.28698e-06	0.000642709
NCS1	-0.873379	2.53822	7.31711e-06	0.000644783
CLASRP	-0.991408	2.8202	7.36968e-06	0.000648228
PYCRL	-1.35118	1.1908	7.3742e-06	0.000648228
SDF4	-1.26356	2.26439	7.52839e-06	0.000656545
TMEM63A	-0.697373	3.42396	7.52959e-06	0.000656545
EGFL7	-1.17507	1.90353	7.55744e-06	0.000658442
FASN	-0.925822	3.02839	7.83269e-06	0.000677113
HIVEP2	1.01362	2.45503	7.8515e-06	0.000677505
ADRBK1	-0.763837	3.41439	8.19462e-06	0.00069764
RTF1	-0.739976	2.82605	8.26095e-06	0.000702734
TTLL12	-0.854564	2.72264	8.81681e-06	0.000740112
MAD1L1	-0.468214	5.23933	8.94103e-06	0.000746826
RP5-1119A7.14	1.25837	1.78889	8.97491e-06	0.000748151
PDAP1	-1.26796	1.65796	9.02293e-06	0.000749928
LLGL1	-0.794618	2.62228	9.04874e-06	0.000749928
HELZ2	-0.915752	3.14526	9.11676e-06	0.000754157
EIF3KP3	0.986951	1.68684	9.18445e-06	0.000758595
STRADA	-0.649868	3.26219	9.62085e-06	0.000787416
GMPPA	-0.958756	1.98353	9.65089e-06	0.000788679
SCLY	-0.572669	3.43257	9.8264e-06	0.000799996
GAREML	-0.76214	3.04419	1.0113e-05	0.000819011
UNC13D	-0.813486	3.01564	1.02869e-05	0.000828743
DIRAS1	-1.02537	2.13069	1.03766e-05	0.000832894
TMEM134	-0.881528	2.15896	1.07119e-05	0.000853433
ZDHHC11	-0.798916	2.76776	1.10826e-05	0.000875227
CLPTM1	-0.949642	3.10273	1.1181e-05	0.000879141
TKT	-0.700477	3.41651	1.12278e-05	0.000881538
DGCR2	-1.01656	1.75602	1.13355e-05	0.000887819
VRK3	-0.814243	2.9728	1.1711e-05	0.00091482
TXNRD2	-0.679764	3.60601	1.20258e-05	0.00093267
TMEM255B	-0.791512	3.38388	1.20895e-05	0.000936264
TMEM175	-0.997653	2.27109	1.23686e-05	0.000948358
XYLT2	-0.984889	2.79188	1.23978e-05	0.000949924
RRP1	-1.00364	2.47185	1.24244e-05	0.000950473
MEGF8	-0.794727	3.01538	1.26566e-05	0.00095975
TP73-AS1	-1.05048	2.03347	1.2731e-05	0.000962488
ANKRD11	-0.531544	3.73983	1.28498e-05	0.000969435
SMPD3	-1.01945	2.24145	1.31794e-05	0.000988774
PPP1R26	-1.42993	1.34311	1.32608e-05	0.000994194
CTD-2228K2.7	-1.4047	1.27141	1.33085e-05	0.000996385
FAM132B	-0.928754	2.33904	1.33923e-05	0.00100058
ADRA2C	-1.73038	0.44606	1.34294e-05	0.00100172
ABCA3	-1.06184	2.06049	1.34405e-05	0.00100172
CFAP61	0.425953	4.49989	1.37444e-05	0.00101843
POLR1A	0.526009	3.64137	1.37892e-05	0.00102063
CCDC88B	-0.919443	2.57208	1.42942e-05	0.00104838
TCEA3	-0.790864	2.78472	1.43889e-05	0.00105367
CAPN1	-0.766542	2.53653	1.4405e-05	0.00105367
PTPN18	-0.666462	3.01567	1.4549e-05	0.00106275
ITGB2	-0.792637	3.43085	1.46566e-05	0.00106844
GATA2	-1.09543	2.50962	1.4809e-05	0.00107618
CROCCP3	-0.770709	2.71864	1.489e-05	0.00108015
ACOT7	-0.644449	3.45152	1.48972e-05	0.00108015
USF2	-1.16343	1.79572	1.4987e-05	0.0010852
FSCN1	-0.90991	2.59436	1.50595e-05	0.00108972
RYR1	-0.671248	3.69131	1.52141e-05	0.00109797
RBM24	0.760414	2.59294	1.53394e-05	0.00110259
ADCY5	-0.487228	4.14785	1.56006e-05	0.00111617
MAMDC4	-0.948232	2.0166	1.58188e-05	0.00112582
BID	-0.919615	1.99179	1.6273e-05	0.0011483
NOTCH4	-0.675363	2.99874	1.64429e-05	0.00115651
LRP1	-0.602425	3.64543	1.69012e-05	0.00117763
LEMD2	-0.910495	2.81565	1.70681e-05	0.00118487
CCDC28B	1.09817	2.10394	1.72865e-05	0.00119714
KCNA5	-1.02232	1.74517	1.76939e-05	0.00121379
CDH4	-0.636668	3.2945	1.77067e-05	0.00121379
COPE	-1.17019	2.39616	1.80322e-05	0.00122874
RNF220	-0.518498	4.30252	1.80383e-05	0.00122874
KDM4B	-0.822106	4.35238	1.82215e-05	0.00123809
MAST3	-0.701562	3.38944	1.83376e-05	0.00124207
ZBTB18	1.05638	1.94973	1.85051e-05	0.00125106
CSNK1G2	-0.709498	3.24826	2.02776e-05	0.00134233
HRK	-1.10466	2.13249	2.07056e-05	0.0013613
CEP72	-0.785623	2.57232	2.07584e-05	0.0013633
FAM20C	-1.06098	2.48988	2.11022e-05	0.00137834
FBLIM1	-0.710282	3.17705	2.12112e-05	0.00137967
EPN1	-1.17619	1.78116	2.12559e-05	0.00137967
PRRC2A	-1.36892	0.984216	2.17978e-05	0.00140509
SPNS2	-0.837473	2.54929	2.19128e-05	0.00141082
PPM1F	-0.831186	2.69955	2.198e-05	0.00141346
LINC00894	-1.17485	1.47953	2.23342e-05	0.00143198
CCNF	-0.904346	2.56856	2.2868e-05	0.00145841
PITPNM1	-0.83114	2.65565	2.3077e-05	0.00146827
MBOAT7	-1.237	1.68877	2.33857e-05	0.0014818
PELP1	-1.25649	1.40589	2.34227e-05	0.00148241
SH2D3A	-0.817518	2.52008	2.34845e-05	0.00148438
SULF2	-0.552727	3.92646	2.36684e-05	0.00149446
C9orf114	-1.05556	1.74065	2.37583e-05	0.00149664
TMC6	-0.813983	2.86064	2.3888e-05	0.0015013
ALG12	-1.14564	1.9308	2.39438e-05	0.00150394
KIFC2	-1.45826	1.06664	2.42398e-05	0.00151724
MYL5	-1.17001	1.48476	2.4263e-05	0.00151781
DDX49	-1.05664	1.81296	2.43745e-05	0.00152257
BAZ2A	-0.544914	3.52886	2.46455e-05	0.00153286
TBL1XR1	0.695745	3.01493	2.48118e-05	0.00153966
BAHD1	-0.723529	2.65903	2.49265e-05	0.00154323
PLEKHN1	-1.2298	1.5009	2.54202e-05	0.00156661
SPTBN4	-0.721916	3.27611	2.57291e-05	0.00158024
ITGAM	-0.666424	3.47373	2.61485e-05	0.00160142
DUSP10	0.674969	3.05577	2.62906e-05	0.0016056
ZNF219	-1.15255	1.23852	2.70149e-05	0.0016329
IGHMBP2	-1.16457	2.69548	2.70342e-05	0.0016329
PRSS50	-1.12678	1.54122	2.73639e-05	0.00164878
NTNG2	-0.80448	2.84235	2.80389e-05	0.00168101
DPYSL4	-0.799825	2.5066	2.85457e-05	0.00170383
AACS	-0.465641	4.2826	2.91082e-05	0.00172976
CPEB4	0.789852	2.46039	2.91592e-05	0.00173015
MARCH2	-1.04538	2.02859	2.92029e-05	0.00173015
RP4-737E23.5	1.08092	2.05978	2.95258e-05	0.00174402
CALCB	-1.03427	1.96683	2.99077e-05	0.00175804
TMEM127	1.10966	1.62639	3.05672e-05	0.00178747
ARFRP1	-1.37468	1.31912	3.07918e-05	0.00179331
ARFGAP1	-2.03475	0.464708	3.08625e-05	0.00179646
NAALADL2	0.528678	3.84584	3.13701e-05	0.00181817
KAZN	-0.572969	3.42448	3.23095e-05	0.00185569
MT1XP1	-1.74532	0.912602	3.23393e-05	0.00185642
NSMF	-1.10635	2.23997	3.23659e-05	0.00185695
ALDH3B1	-0.879527	3.12959	3.25208e-05	0.00186486
MEGF6	-0.798138	3.52303	3.27722e-05	0.00187231
BGN	-1.54769	0.732836	3.37463e-05	0.00191379
CLPTM1L	-0.643483	3.60477	3.38876e-05	0.00191923
ANKMY1	-0.591754	3.58426	3.39023e-05	0.00191923
JRK	-1.01159	1.86273	3.40115e-05	0.00192077
ACTN4	-0.617892	3.50433	3.45234e-05	0.0019446
ASS1	-0.692071	4.04291	3.50873e-05	0.00196611
CA4	-0.694207	2.62822	3.52379e-05	0.00196944
CLEC11A	-1.40787	1.36477	3.59569e-05	0.0019995
ATP6V0D1	-0.7916	3.144	3.59609e-05	0.0019995
TP53I11	-0.659713	3.38189	3.6062e-05	0.0020041
FES	-1.06109	2.31805	3.62006e-05	0.00201076
FAM57B	-0.941974	2.30925	3.63031e-05	0.00201276
FLT4	-0.693765	3.73304	3.66328e-05	0.00202644
R3HDM4	-1.12654	2.08833	3.6673e-05	0.00202653
CACNA1C	-0.438218	4.40037	3.73261e-05	0.00205426
SEMA3F	-0.93175	2.33797	3.73991e-05	0.00205724
YIPF7	1.14389	1.35594	3.79832e-05	0.00208195
ATG4B	-0.7635	2.77986	3.80891e-05	0.00208458
GPD2	0.626013	3.32449	3.83789e-05	0.00209804
BZRAP1	-0.790394	3.07578	3.84349e-05	0.00209819
C21orf58	-0.926003	2.17038	4.04168e-05	0.00218104
NDUFA4L2	-1.04035	1.67705	4.07263e-05	0.00219445
ITIH3	-0.694845	2.73957	4.15228e-05	0.00222515
HDAC5	-0.65749	3.2444	4.15727e-05	0.00222673
ABTB1	-1.08849	2.31284	4.2271e-05	0.00225506
