logFC	logCPM	PValue	adj.p.value
TRIM63	1.3389	2.68599	8.91322e-20	1.19456e-16
ASB11	1.44078	1.6304	1.17865e-19	1.4878e-16
HSPA1B	1.34051	2.14793	1.53633e-19	1.917e-16
AKAP13	0.644196	5.05363	1.75009e-19	2.15892e-16
RBM39	0.97555	4.43487	1.78956e-19	2.18281e-16
ASPH	0.702355	4.30886	2.01692e-19	2.3799e-16
SLC25A3	1.35177	1.93957	2.2654e-19	2.61622e-16
UBE2G1	1.18663	2.79124	2.29053e-19	2.6174e-16
PER1	1.47634	4.01397	2.93184e-19	3.24768e-16
SMYD1	1.31126	2.46869	3.2805e-19	3.59719e-16
DNAJB5	1.21565	3.5453	4.04432e-19	4.34693e-16
CNBP	1.20629	3.27977	4.16504e-19	4.43279e-16
DST	0.615454	5.20578	4.33823e-19	4.57228e-16
ASB15	1.01814	3.63402	4.44476e-19	4.63952e-16
LRRC2	1.333	2.63121	5.29586e-19	5.47527e-16
PALMD	1.01268	3.5488	5.63404e-19	5.76994e-16
TMEM38B	0.997913	3.84604	1.08698e-18	1.04424e-15
IFRD1	0.817124	4.25111	1.40237e-18	1.3238e-15
PPTC7	1.08942	3.39857	1.78138e-18	1.65283e-15
NFYC	0.912445	3.89145	2.84582e-18	2.57444e-15
TXLNB	1.22277	2.49658	3.07797e-18	2.76145e-15
NFIA	0.863823	5.18614	3.61226e-18	3.19905e-15
CKMT2	1.1297	3.19578	3.62466e-18	3.19905e-15
JMJD1C	0.889323	3.74195	4.08872e-18	3.55088e-15
NEDD4	0.858233	4.30217	4.8944e-18	4.18363e-15
GBE1	0.97579	3.66524	5.10081e-18	4.31704e-15
FSD2	1.50884	2.40687	5.13001e-18	4.31704e-15
PCBP2	1.08635	3.18421	5.72561e-18	4.7812e-15
CD36	0.792912	4.19741	7.89937e-18	6.41448e-15
MB	1.04123	3.91582	8.52103e-18	6.85198e-15
MBNL2	0.98083	3.24266	9.87197e-18	7.82242e-15
FHL1	0.956541	3.62317	1.05003e-17	8.25998e-15
PTGES3	1.32974	2.94687	1.07901e-17	8.42688e-15
ZNF106	1.13649	3.55354	1.15175e-17	8.8674e-15
ZNF608	0.854747	3.88198	1.16177e-17	8.8816e-15
CEP85	0.984969	3.90322	1.17968e-17	8.95543e-15
PDLIM5	1.06912	3.95691	1.46093e-17	1.09376e-14
MLIP	0.905832	3.29207	1.62575e-17	1.20059e-14
FXR1	0.77267	4.24831	2.24207e-17	1.62262e-14
UGP2	0.956029	3.93152	2.40153e-17	1.72651e-14
METTL7A	1.12156	2.83524	2.61524e-17	1.83163e-14
SMAD4	0.721492	4.35538	2.85847e-17	1.98915e-14
PPP1R12B	0.666202	4.78384	4.0281e-17	2.76758e-14
KLF9	1.22273	3.39312	4.80631e-17	3.26099e-14
CPEB3	1.17861	2.50208	5.05607e-17	3.40914e-14
FILIP1	1.07327	3.24476	5.16483e-17	3.46098e-14
PERM1	1.31956	3.49019	5.60433e-17	3.73245e-14
IP6K3	1.77865	3.19332	5.82348e-17	3.83139e-14
CORO1C	0.764211	4.27324	6.39391e-17	4.15631e-14
PKIA	1.03812	3.48332	7.59252e-17	4.90608e-14
PCF11	1.04696	3.61433	8.1094e-17	5.20907e-14
PHTF2	0.854521	3.59836	8.27431e-17	5.28373e-14
ATP1B1	1.411	2.83719	8.8221e-17	5.56802e-14
UTP11L	1.4003	3.23835	1.00297e-16	6.2936e-14
TRDN	1.12389	3.51547	1.06846e-16	6.66601e-14
BAG3	1.22424	3.89238	1.19335e-16	7.36061e-14
ANKRD10	0.968482	3.2285	1.43179e-16	8.6833e-14
NR4A1	1.1769	4.88784	1.45856e-16	8.79652e-14
ZNF638	0.676518	4.6605	1.63909e-16	9.83063e-14
SCAF11	0.749992	4.09703	1.67072e-16	9.96531e-14
SLC20A2	1.12472	3.67482	1.6824e-16	9.98014e-14
FBXO32	1.06663	3.90991	2.49094e-16	1.41576e-13
EPC1	0.948965	3.32252	2.73508e-16	1.54642e-13
USP2	1.40698	3.72686	3.0193e-16	1.69827e-13
USP47	0.789607	4.1582	3.1599e-16	1.76819e-13
THRAP3	1.07315	3.31695	3.40186e-16	1.89383e-13
HNRNPA1	1.20141	1.60408	4.2477e-16	2.33543e-13
PPP1R15A	1.38133	3.09471	4.25966e-16	2.33543e-13
PPP1R3C	1.49597	2.76221	4.63079e-16	2.52616e-13
LMOD3	1.38855	2.50212	4.75947e-16	2.58337e-13
PPP2R2A	0.718699	4.14242	4.81631e-16	2.60121e-13
CLCN3	0.777179	4.27295	5.76016e-16	3.06522e-13
NFIB	0.89728	4.55454	5.89301e-16	3.12062e-13
PDE4D	0.573813	5.46283	6.32175e-16	3.31532e-13
TSC22D2	0.987739	4.16492	6.90944e-16	3.6061e-13
PK	0.916605	3.9625	7.7587e-16	4.02996e-13
C9orf3	0.709943	5.19852	1.06459e-15	5.35039e-13
SERBP1	1.05681	3.51042	1.09198e-15	5.46277e-13
ZBTB16	0.980517	4.79776	1.47857e-15	7.23013e-13
TNNC2	1.17379	2.81155	1.66391e-15	8.02306e-13
RP11-18B3.3	1.19254	2.33473	1.67029e-15	8.02306e-13
DHRS7B	0.795694	3.99061	1.87767e-15	8.9795e-13
PBX1	0.688365	5.04437	2.02236e-15	9.62899e-13
PIK3R1	0.761136	4.75022	2.84706e-15	1.3208e-12
CKM	1.06777	2.91899	2.9573e-15	1.36611e-12
BEST3	1.03274	3.21368	3.02857e-15	1.3931e-12
CLIP1	0.773891	4.32649	3.24672e-15	1.48551e-12
HFE2	1.10337	2.39401	3.25682e-15	1.48551e-12
FBXW7	0.755712	4.14718	3.70667e-15	1.67661e-12
ATP2C1	0.61668	4.631	4.30251e-15	1.93651e-12
LINC01372	1.78908	0.623098	4.31696e-15	1.93651e-12
PPP2R3A	0.874816	3.9256	4.3952e-15	1.9635e-12
SVIL	0.794761	5.03209	4.59032e-15	2.03392e-12
PNRC2	1.10588	2.72019	4.88287e-15	2.14603e-12
ANGPTL1	0.995743	2.9709	5.22992e-15	2.2801e-12
STOM	1.33407	2.30367	6.2884e-15	2.70893e-12
POPDC3	1.03464	2.60076	7.2887e-15	3.07972e-12
DUSP1	1.3018	3.45427	7.40691e-15	3.11656e-12
IRS1	1.26721	2.86086	8.27257e-15	3.42766e-12
CMYA5	0.907044	3.46605	8.82405e-15	3.62846e-12
SH3BGR	0.961003	3.44713	1.49633e-14	6.01617e-12
USP25	0.748382	4.10049	1.5674e-14	6.2556e-12
CCT8	0.962353	2.86021	1.58161e-14	6.28919e-12
CASQ1	0.922216	3.64413	1.72726e-14	6.8433e-12
MTPAP	1.10787	1.9882	2.152e-14	8.34337e-12
RUNX1T1	0.604202	4.93509	2.17178e-14	8.39012e-12
NUMA1	0.783064	4.00018	2.22813e-14	8.57728e-12
HSP90AB1	1.39976	3.10523	2.29096e-14	8.78799e-12
RBFOX2	0.665635	4.5562	2.4431e-14	9.30197e-12
XIRP2	0.862075	3.17342	2.60054e-14	9.80234e-12
C1orf132	1.21267	3.97583	3.04671e-14	1.12881e-11
C6orf62	1.1293	3.24037	3.23945e-14	1.19614e-11
MNAT1	0.874642	3.47626	3.42855e-14	1.25741e-11
GPD1	1.12381	2.5145	3.45403e-14	1.25825e-11
PKM	0.914797	4.48868	3.80215e-14	1.36859e-11
SLC25A4	1.40799	3.17572	3.88747e-14	1.3882e-11
ARHGEF12	0.599862	4.68594	4.06089e-14	1.44065e-11
YTHDC1	0.73173	3.73299	4.16791e-14	1.4738e-11
RP11-64B16.4	1.76252	0.395014	4.33236e-14	1.51712e-11
CHD9	0.658049	4.62918	4.3921e-14	1.53114e-11
TSC22D1	0.995062	2.84393	4.4006e-14	1.53114e-11
CD59	0.933912	3.79026	4.75957e-14	1.64027e-11
GATAD2B	1.11359	2.56088	4.86734e-14	1.6721e-11
ABRA	1.1387	2.78713	4.9427e-14	1.69263e-11
AC013394.2	1.08073	3.54028	5.16664e-14	1.76376e-11
CAMK2D	0.92314	3.66734	5.78487e-14	1.96246e-11
AFF1	0.956172	3.6511	6.09332e-14	2.05426e-11
AP1S2	1.05889	2.4006	7.6327e-14	2.53387e-11
UBE2K	1.02865	2.72613	7.81119e-14	2.57738e-11
NCOA4	0.951725	3.71647	8.30985e-14	2.72536e-11
AGL	0.825074	3.74955	8.49862e-14	2.77887e-11
TBC1D23	0.709987	3.91166	8.74869e-14	2.83502e-11
ILF2	0.938459	2.58581	8.87192e-14	2.86377e-11
RNF122	1.0524	2.89857	9.17041e-14	2.9453e-11
FHL2	0.829232	3.19399	9.29086e-14	2.97519e-11
KIAA1715	0.757113	3.56584	9.92045e-14	3.15817e-11
PLCL1	0.674321	3.98134	1.08007e-13	3.4084e-11
CTNND1	0.659953	4.29771	1.08723e-13	3.41637e-11
NRIP1	0.967868	2.37588	1.08889e-13	3.41637e-11
NT5C3A	0.878297	3.69643	1.10664e-13	3.46207e-11
VDAC2	0.912246	3.40093	1.11859e-13	3.46945e-11
KLHL38	1.2677	2.88208	1.26643e-13	3.85098e-11
ABCC5-AS1	1.12311	1.62543	1.4881e-13	4.4749e-11
TTN-AS1	0.681638	4.96035	1.53609e-13	4.60645e-11
VPS45	0.702741	3.78562	1.56113e-13	4.6558e-11
HSPB3	1.41017	2.13919	1.62795e-13	4.84179e-11
ARRDC3	1.12098	3.86552	1.64893e-13	4.87746e-11
MSTN	1.08974	2.41181	1.65555e-13	4.88373e-11
FOXP2	0.869481	4.23644	1.69767e-13	4.99441e-11
UACA	0.710261	4.62798	1.74852e-13	5.13012e-11
TSC22D3	1.21421	2.71149	1.9624e-13	5.72666e-11
PKDCC	1.01473	4.16006	2.01053e-13	5.85139e-11
CUL4B	0.973741	2.68183	2.02692e-13	5.88332e-11
ITGA7	0.839787	4.1585	2.12597e-13	6.138e-11
PICALM	0.698988	4.3301	2.18977e-13	6.30544e-11
HBP1	0.859854	3.6125	2.38495e-13	6.77757e-11
GNAS	0.797891	4.13867	2.51165e-13	7.10045e-11
FBXO40	1.03241	2.4329	2.53871e-13	7.15829e-11
MAP4	0.794382	4.64918	2.70951e-13	7.62012e-11
SMAD3	0.782578	5.18349	3.03147e-13	8.41656e-11
GPATCH8	0.8277	3.49153	3.33342e-13	9.18442e-11
VEGFA	1.27806	2.69884	3.38484e-13	9.30249e-11
DNAJB6	0.789314	4.09376	3.4054e-13	9.33535e-11
ING3	0.98751	2.70843	3.58846e-13	9.76323e-11
CRADD	0.781552	3.40426	3.70139e-13	1.00202e-10
SORBS1	0.79654	4.5836	3.92084e-13	1.05617e-10
VPS8	0.528539	4.90017	3.93126e-13	1.05635e-10
TRIM54	1.17277	2.94957	3.9464e-13	1.0578e-10
MSS51	1.35733	2.1029	4.05664e-13	1.08467e-10
CCDC28B	1.17694	2.77935	4.28616e-13	1.14323e-10
CMSS1	0.797557	3.53278	4.35877e-13	1.15943e-10
AGPAT9	0.772577	3.43368	4.36826e-13	1.15943e-10
CA3	0.89327	3.00221	4.473e-13	1.18433e-10
SPAG9	0.592942	4.92277	4.72147e-13	1.24405e-10
VAMP4	0.996499	2.8978	4.7515e-13	1.24598e-10
WBP1L	1.00862	3.43895	4.75174e-13	1.24598e-10
LMO7	0.646037	4.87004	5.12398e-13	1.33073e-10
MRFAP1L1	1.17804	2.48728	5.16604e-13	1.33845e-10
EED	0.748701	3.46058	5.35788e-13	1.37828e-10
LMOD1	1.11887	2.78171	5.54242e-13	1.41569e-10
FOXO3	1.22116	3.77845	5.86942e-13	1.49177e-10
PAM	0.619886	4.692	5.95165e-13	1.50605e-10
SRSF3	1.10189	3.22305	6.39917e-13	1.60804e-10
MED13	0.86501	3.54927	6.69174e-13	1.66232e-10
CYSTM1	0.953567	3.06829	6.73979e-13	1.67044e-10
CCDC141	0.650023	3.80241	7.63044e-13	1.86984e-10
USP54	0.756169	4.00846	8.04384e-13	1.96228e-10
DUSP3	1.27594	1.71347	8.27414e-13	2.01394e-10
TSNAX	1.15765	1.82543	8.31014e-13	2.01818e-10
AKAP9	0.67051	4.61649	8.70498e-13	2.10465e-10
ITM2B	0.776636	3.59529	9.34336e-13	2.23411e-10
HMGN4	1.02028	2.49287	9.57578e-13	2.28465e-10
TNPO1	0.795771	3.57877	9.88426e-13	2.34281e-10
NR4A2	0.970948	4.19036	1.02272e-12	2.41356e-10
G3BP2	0.905329	3.42314	1.06974e-12	2.51903e-10
OGT	0.994613	2.74793	1.10898e-12	2.60016e-10
MYOZ3	0.955245	3.40146	1.12823e-12	2.6396e-10
SDCBP	0.668154	3.74403	1.15143e-12	2.68807e-10
SLC15A4	1.03004	3.79699	1.1549e-12	2.6904e-10
FOS	1.18421	3.01805	1.17987e-12	2.73683e-10
TAF7	1.2226	1.67951	1.21807e-12	2.81341e-10
HSPB8	1.14191	2.06726	1.26666e-12	2.91324e-10
GAB1	0.685895	4.66226	1.27255e-12	2.9206e-10
ARPP19	0.914437	3.45247	1.34172e-12	3.07286e-10
PPP1R3A	0.930559	3.28246	1.35062e-12	3.08673e-10
EGLN1	1.01804	3.93753	1.37929e-12	3.14562e-10
EMC3	1.2315	1.45231	1.4192e-12	3.2231e-10
MCL1	1.22085	3.15736	1.55726e-12	3.51458e-10
HNRNPC	0.788403	3.87464	1.58755e-12	3.57552e-10
NDUFV2	1.00287	2.57185	1.63103e-12	3.65826e-10
MSI2	0.608496	5.0707	1.65028e-12	3.6911e-10
MAT2A	1.10827	3.50108	1.71955e-12	3.80957e-10
YWHAZ	0.876231	4.17965	1.72472e-12	3.81324e-10
NDUFC1	1.06132	2.19568	1.82925e-12	4.02795e-10
SMPX	1.18496	1.30699	1.8579e-12	4.07451e-10
OTUD4	0.971963	3.54258	1.9389e-12	4.23503e-10
DTNA	0.601606	4.71327	1.94958e-12	4.24981e-10
UEVLD	0.786006	3.15369	2.26326e-12	4.89429e-10
GPBP1	0.780497	4.23931	2.32786e-12	5.02398e-10
MEF2A	0.886449	3.6012	2.53033e-12	5.37545e-10
PRKAR1A	0.823603	3.63209	2.76227e-12	5.84529e-10
SOX6	0.618956	5.04919	2.9393e-12	6.18375e-10
PDE7A	1.07949	3.55248	3.02269e-12	6.32855e-10
CRIM1	0.785174	3.14754	3.02562e-12	6.32855e-10
RP11-367G18.1	0.814494	2.96064	3.2018e-12	6.64585e-10
RNF144B	1.18155	3.03703	3.35249e-12	6.93211e-10
PFDN1	0.97499	3.47741	3.74788e-12	7.69109e-10
GOLPH3L	1.64157	1.55555	3.81437e-12	7.79805e-10
TM9SF3	0.646098	3.95747	3.9525e-12	8.06526e-10
SEC14L1	0.6581	4.70471	3.99444e-12	8.12031e-10
ADSL	0.889506	3.18253	4.11961e-12	8.35912e-10
CHD8	0.664741	3.64487	4.14789e-12	8.4008e-10
NIPBL	0.603363	4.34712	4.36315e-12	8.78757e-10
KLF10	1.01878	3.34996	4.54581e-12	9.1385e-10
RNF13	0.683031	4.30583	4.55441e-12	9.13887e-10
NDUFB6	1.10328	2.44738	4.65418e-12	9.32185e-10
ROCK2	0.703394	4.01399	5.17929e-12	1.02602e-09
TIAL1	0.746361	3.66978	5.17939e-12	1.02602e-09
FABP3	0.890521	3.4362	5.21212e-12	1.03062e-09
SRSF10	0.877134	3.25924	5.4267e-12	1.06145e-09
RASGRP3	0.626736	4.34167	5.63613e-12	1.09453e-09
AP2B1	0.643281	3.68114	5.77691e-12	1.11986e-09
SLMAP	0.745571	4.34538	5.80363e-12	1.12304e-09
UBE2D3	0.837654	2.84923	5.93857e-12	1.14304e-09
BCL2L1	0.966176	2.96982	6.0377e-12	1.16006e-09
SAMD4A	0.886841	4.90689	6.13558e-12	1.17471e-09
ABCD3	0.775442	3.42457	6.17123e-12	1.17946e-09
MIR99AHG	0.822766	4.33172	6.21326e-12	1.1854e-09
RERE	0.69244	4.95336	6.26876e-12	1.1918e-09
PPP1CB	1.0516	3.26887	6.35136e-12	1.20539e-09
SRP9	0.974456	2.42173	6.6939e-12	1.26818e-09
N4BP2L2	0.648741	3.73782	6.79331e-12	1.28254e-09
OSBPL9	0.549864	4.52953	6.934e-12	1.30683e-09
TMCC3	0.864166	3.0965	7.13424e-12	1.34224e-09
GRPEL1	0.994813	2.74824	7.22241e-12	1.35648e-09
NT5C2	0.673491	3.93042	7.8653e-12	1.47467e-09
RHOBTB1	0.676916	4.21218	7.9434e-12	1.48674e-09
RP11-211G3.2	1.38184	1.53469	7.9684e-12	1.48886e-09
UBR2	1.09256	2.70607	8.5143e-12	1.5828e-09
ID3	1.06222	2.74769	8.58366e-12	1.59285e-09
SMPDL3A	0.917372	2.92442	9.09771e-12	1.67963e-09
KANSL2	0.786966	3.07957	9.34823e-12	1.71712e-09
FAM118A	0.70782	4.04109	9.61949e-12	1.76396e-09
P4HA1	1.04102	3.12084	1.13181e-11	2.05739e-09
BACH1	0.717803	3.78475	1.14265e-11	2.07082e-09
MED24	0.931479	3.13307	1.17659e-11	2.12524e-09
MALAT1	2.45474	-0.795605	1.22024e-11	2.19314e-09
HSPH1	0.989689	3.36817	1.28157e-11	2.29218e-09
FRK	0.99082	1.94913	1.28168e-11	2.29218e-09
RPL24	0.946657	2.41212	1.31879e-11	2.35113e-09
TTBK2	0.849769	3.07718	1.32678e-11	2.36117e-09
JUN	1.47126	0.708593	1.35184e-11	2.40183e-09
UBA1	1.01444	2.79926	1.35759e-11	2.4081e-09
HNRNPU	1.3261	1.39429	1.47286e-11	2.58004e-09
BCL6	1.03991	3.70617	1.50052e-11	2.61464e-09
NUFIP2	0.961079	3.06501	1.50871e-11	2.62469e-09
FKBP5	1.00842	3.75293	1.52337e-11	2.63625e-09
MAP3K14	0.807485	3.68951	1.64396e-11	2.82378e-09
CACUL1	0.606438	3.81643	1.66876e-11	2.86185e-09
SLAIN2	0.671244	3.85773	1.71133e-11	2.92103e-09
TXNL1	0.725319	3.39863	1.72496e-11	2.92603e-09
SGK1	0.65852	4.5175	1.76637e-11	2.98678e-09
ETF1	0.996793	3.67383	1.77079e-11	2.98961e-09
PPP1R2	1.17278	1.92434	1.78952e-11	3.01654e-09
CDV3	0.991952	2.72174	1.84017e-11	3.09231e-09
NR4A3	1.04911	2.41029	1.8578e-11	3.11337e-09
NET1	0.705853	3.51179	1.95677e-11	3.263e-09
ADRB2	1.17244	2.37469	2.0271e-11	3.37509e-09
NDUFAF4	1.00513	2.84893	2.05991e-11	3.42446e-09
UBE2D1	0.873235	3.34968	2.09302e-11	3.46888e-09
DDI2	0.944774	3.02904	2.12182e-11	3.50592e-09
SIAH1	0.741684	4.00972	2.30496e-11	3.77975e-09
SLTM	0.703333	3.5587	2.34762e-11	3.84391e-09
RLF	0.872892	2.76122	2.37545e-11	3.87633e-09
EYA4	0.623779	4.2088	2.37814e-11	3.87633e-09
LDB3	0.990295	3.70458	2.38592e-11	3.88318e-09
LAPTM4B	1.10978	2.34639	2.4767e-11	4.0069e-09
TMCC2	0.830367	3.90134	2.52213e-11	4.07433e-09
DUSP10	0.822463	3.91702	2.5813e-11	4.15755e-09
UNC45B	1.13715	2.66146	2.68151e-11	4.2998e-09
THRA	0.921527	3.67286	2.68746e-11	4.30298e-09
RP11-159D12.2	1.07229	1.81281	2.70925e-11	4.33149e-09
CRYBG3	0.887174	3.20703	2.7433e-11	4.37305e-09
KIAA0907	0.942172	2.532	2.84967e-11	4.53595e-09
XIRP1	1.2193	2.54779	2.87037e-11	4.56221e-09
RBM4	0.935137	3.22748	2.98179e-11	4.73236e-09
LRRFIP2	0.637286	4.1028	3.00153e-11	4.75674e-09
SRP9P1	1.06594	1.22123	3.04908e-11	4.81804e-09
ENAH	0.646744	4.41612	3.14382e-11	4.95333e-09
NUPR1	1.0808	2.1788	3.16349e-11	4.97708e-09
NEK7	0.665547	3.73282	3.19884e-11	5.02542e-09
PSMC3	1.1137	2.22688	3.24324e-11	5.0878e-09
CSRNP1	1.15208	2.97918	3.27129e-11	5.1244e-09
RANBP9	0.741429	3.742	3.37054e-11	5.26468e-09
BCLAF1	0.883349	3.7468	3.38822e-11	5.2847e-09
RXRG	0.758965	3.03151	3.58168e-11	5.56247e-09
PDE7B	0.736209	3.23256	3.61026e-11	5.59884e-09
VCL	0.680568	3.80148	3.82457e-11	5.90588e-09
RSL24D1	0.821913	2.69022	3.87858e-11	5.9723e-09
XPO1	0.747662	4.27074	3.95276e-11	6.06073e-09
POPDC2	1.01724	3.71982	4.01e-11	6.13117e-09
CCNL1	0.798596	2.86181	4.05988e-11	6.19871e-09
PPP2R4	0.925918	3.76616	4.08739e-11	6.22321e-09
WIPI1	0.863275	3.66109	4.17712e-11	6.34204e-09
DUSP16	0.956104	3.53023	4.25137e-11	6.4278e-09
MYLK4	1.33083	2.13552	4.27577e-11	6.4557e-09
ZNF330	1.18564	2.32837	4.32954e-11	6.5278e-09
CALM1	0.928449	3.31994	4.39495e-11	6.61723e-09
PABPC4	0.845394	3.22311	4.53599e-11	6.82014e-09
CTD-2003C8.2	1.10513	2.47868	4.57054e-11	6.86258e-09
TMCC1	0.787526	3.61208	4.6221e-11	6.92085e-09
CIART	1.15287	2.51536	4.72381e-11	7.06339e-09
MRPS10	1.03379	1.88841	4.74695e-11	7.08824e-09
CDC42-IT1	1.01022	1.38704	4.87602e-11	7.25223e-09
ATXN7	0.531351	4.44476	5.13646e-11	7.60707e-09
ART3	0.846509	3.82649	5.53337e-11	8.15042e-09
FHL3	0.995484	3.85574	5.56751e-11	8.18959e-09
TGIF1	0.903768	4.23431	5.72856e-11	8.41509e-09
ITGB6	0.714078	3.7509	6.02527e-11	8.8033e-09
SYNE2	0.514758	5.48191	6.15146e-11	8.97559e-09
CDC27	0.602535	3.93695	6.41513e-11	9.32272e-09
PRKG1	0.711161	4.2757	6.4798e-11	9.39156e-09
APOBEC2	1.28987	2.98462	6.62086e-11	9.57045e-09
CYCS	1.01542	2.52218	6.76468e-11	9.76534e-09
LRRC39	1.02709	2.10668	6.82213e-11	9.83519e-09
KBTBD2	1.06211	3.74785	6.86426e-11	9.8828e-09
RFESD	0.702486	3.03146	6.87429e-11	9.88414e-09
RAB10	0.812884	3.35595	7.01031e-11	1.00438e-08
RRAD	0.927239	2.66541	7.01311e-11	1.00438e-08
PAPD4	0.704769	3.80086	7.02235e-11	1.00438e-08
TRPS1	0.601285	4.31741	7.19946e-11	1.02701e-08
ADCK3	0.771895	4.34947	7.34711e-11	1.04532e-08
H3F3B	1.16304	2.71209	7.39958e-11	1.05141e-08
TNIP1	0.647015	4.69951	7.51209e-11	1.066e-08
ZEB2	0.771034	3.17924	7.57735e-11	1.07224e-08
GLTSCR1L	0.913696	3.82757	7.58572e-11	1.07224e-08
METTL21EP	0.965906	2.03404	7.63612e-11	1.07796e-08
PSMA5	0.871424	3.16873	7.98065e-11	1.12077e-08
PGK1	0.844759	2.60589	8.02177e-11	1.12509e-08
MBP	0.87362	4.89005	8.06521e-11	1.12786e-08
CDKN2C	1.0101	3.29712	8.07271e-11	1.12786e-08
SENP6	0.529068	4.17503	8.38961e-11	1.16427e-08
OSBPL11	0.865738	2.86379	8.39764e-11	1.16427e-08
SLC29A1	0.976369	3.69215	8.42238e-11	1.16621e-08
MITF	0.611054	4.0614	8.76093e-11	1.2054e-08
DDX50	0.753019	3.02079	8.83779e-11	1.21443e-08
KANSL3	0.772963	4.33107	8.92009e-11	1.22419e-08
TET2	0.886935	3.05837	9.17827e-11	1.25645e-08
ZADH2	1.0598	2.43261	9.21026e-11	1.25924e-08
RPS15A	0.85719	3.02633	9.3211e-11	1.27119e-08
TOR1AIP2	1.38853	1.59857	9.33849e-11	1.27197e-08
RRAGD	1.00809	3.25641	9.38429e-11	1.2766e-08
DBP	1.48866	1.49288	9.49705e-11	1.28871e-08
LAMA2	0.784006	2.85182	9.67578e-11	1.31133e-08
VGLL4	0.614198	5.00372	9.95351e-11	1.34393e-08
YWHAG	1.04068	2.12206	1.00303e-10	1.35094e-08
ELF2	0.760532	4.54782	1.009e-10	1.35562e-08
ADAMTSL4-AS1	1.24875	2.57861	1.01443e-10	1.36123e-08
PSMD8	0.882832	2.64249	1.04596e-10	1.39663e-08
LRP6	0.703551	3.69819	1.05368e-10	1.40522e-08
KLHDC10	0.820341	2.90303	1.06468e-10	1.4164e-08
ZFP36L1	1.00814	4.05679	1.08566e-10	1.44255e-08
NXPE3	0.752806	3.31524	1.10579e-10	1.4671e-08
DHRS7	0.743167	3.38225	1.10684e-10	1.4671e-08
METTL14	0.85385	2.75192	1.14268e-10	1.50907e-08
ARPP21	0.48277	5.1553	1.28707e-10	1.68948e-08
CAP2	1.04259	2.70014	1.29855e-10	1.7025e-08
PPM1D	0.813664	3.30622	1.30796e-10	1.71071e-08
