GeneSymbol	accession
ENSG00000223823	LINC01342	ENSG00000223823
ENSG00000207730	MIR200B	ENSG00000207730
ENSG00000207607	MIR200A	ENSG00000207607
ENSG00000198976	MIR429	ENSG00000198976
ENSG00000272141	AL390719.2	ENSG00000272141
ENSG00000205231	TTLL10-AS1	ENSG00000205231
ENSG00000162571	TTLL10	ENSG00000162571
ENSG00000186891	TNFRSF18	ENSG00000186891
ENSG00000186827	TNFRSF4	ENSG00000186827
ENSG00000078808	SDF4	ENSG00000078808
ENSG00000176022	B3GALT6	ENSG00000176022
ENSG00000184163	C1QTNF12	ENSG00000184163
ENSG00000260179	AL162741.1	ENSG00000260179
ENSG00000160087	UBE2J2	ENSG00000160087
ENSG00000230415	LINC01786	ENSG00000230415
ENSG00000162572	SCNN1D	ENSG00000162572
ENSG00000131584	ACAP3	ENSG00000131584
ENSG00000278073	MIR6726	ENSG00000278073
ENSG00000169972	PUSL1	ENSG00000169972
ENSG00000127054	INTS11	ENSG00000127054
ENSG00000283712	MIR6727	ENSG00000283712
ENSG00000240731	AL139287.1	ENSG00000240731
ENSG00000224051	CPTP	ENSG00000224051
ENSG00000169962	TAS1R3	ENSG00000169962
ENSG00000107404	DVL1	ENSG00000107404
ENSG00000284372	MIR6808	ENSG00000284372
ENSG00000162576	MXRA8	ENSG00000162576
ENSG00000175756	AURKAIP1	ENSG00000175756
ENSG00000223663	NDUFB4P8	ENSG00000223663
ENSG00000221978	CCNL2	ENSG00000221978
ENSG00000224870	AL391244.1	ENSG00000224870
ENSG00000242485	MRPL20	ENSG00000242485
ENSG00000264293	RN7SL657P	ENSG00000264293
ENSG00000272455	AL391244.3	ENSG00000272455
ENSG00000235098	ANKRD65	ENSG00000235098
ENSG00000225905	AL391244.2	ENSG00000225905
ENSG00000205116	TMEM88B	ENSG00000205116
ENSG00000225285	LINC01770	ENSG00000225285
ENSG00000179403	VWA1	ENSG00000179403
ENSG00000215915	ATAD3C	ENSG00000215915
ENSG00000160072	ATAD3B	ENSG00000160072
ENSG00000284740	AL645728.2	ENSG00000284740
ENSG00000197785	ATAD3A	ENSG00000197785
ENSG00000205090	TMEM240	ENSG00000205090
ENSG00000160075	SSU72	ENSG00000160075
ENSG00000215014	AL645728.1	ENSG00000215014
ENSG00000274481	AL691432.3	ENSG00000274481
ENSG00000228594	FNDC10	ENSG00000228594
ENSG00000272106	AL691432.2	ENSG00000272106
ENSG00000197530	MIB2	ENSG00000197530
ENSG00000189409	MMP23B	ENSG00000189409
ENSG00000248333	CDK11B	ENSG00000248333
ENSG00000272004	FO704657.1	ENSG00000272004
ENSG00000189339	SLC35E2B	ENSG00000189339
ENSG00000269737	AL691432.1	ENSG00000269737
ENSG00000215914	MMP23A	ENSG00000215914
ENSG00000008128	CDK11A	ENSG00000008128
ENSG00000268575	AL031282.2	ENSG00000268575
ENSG00000227775	AL031282.1	ENSG00000227775
ENSG00000215790	SLC35E2	ENSG00000215790
ENSG00000008130	NADK	ENSG00000008130
ENSG00000078369	GNB1	ENSG00000078369
ENSG00000231050	AL109917.1	ENSG00000231050
ENSG00000169885	CALML6	ENSG00000169885
ENSG00000178821	TMEM52	ENSG00000178821
ENSG00000142609	CFAP74	ENSG00000142609
ENSG00000233542	AL391845.2	ENSG00000233542
ENSG00000187730	GABRD	ENSG00000187730
ENSG00000226969	AL391845.1	ENSG00000226969
ENSG00000067606	PRKCZ	ENSG00000067606
ENSG00000271806	AL590822.2	ENSG00000271806
ENSG00000182873	PRKCZ-AS1	ENSG00000182873
ENSG00000162585	FAAP20	ENSG00000162585
ENSG00000234396	AL590822.1	ENSG00000234396
ENSG00000157933	SKI	ENSG00000157933
ENSG00000116151	MORN1	ENSG00000116151
ENSG00000272161	AL589739.1	ENSG00000272161
ENSG00000269896	AL513477.1	ENSG00000269896
ENSG00000272420	AL513477.2	ENSG00000272420
ENSG00000157916	RER1	ENSG00000157916
ENSG00000157911	PEX10	ENSG00000157911
ENSG00000149527	PLCH2	ENSG00000149527
ENSG00000224387	AL139246.1	ENSG00000224387
ENSG00000229393	AL139246.4	ENSG00000229393
ENSG00000157881	PANK4	ENSG00000157881
ENSG00000197921	HES5	ENSG00000197921
ENSG00000272449	AL139246.5	ENSG00000272449
ENSG00000238164	TNFRSF14-AS1	ENSG00000238164
ENSG00000157873	TNFRSF14	ENSG00000157873
ENSG00000225931	AL139246.2	ENSG00000225931
ENSG00000228037	AL139246.3	ENSG00000228037
ENSG00000157870	FAM213B	ENSG00000157870
ENSG00000142606	MMEL1	ENSG00000142606
ENSG00000237058	AL831784.1	ENSG00000237058
ENSG00000215912	TTC34	ENSG00000215912
ENSG00000283259	AC242022.1	ENSG00000283259
ENSG00000233234	AL592464.2	ENSG00000233234
ENSG00000231630	AL592464.1	ENSG00000231630
ENSG00000284745	AL589702.1	ENSG00000284745
ENSG00000169717	ACTRT2	ENSG00000169717
ENSG00000177133	LINC00982	ENSG00000177133
ENSG00000142611	PRDM16	ENSG00000142611
ENSG00000283572	MIR4251	ENSG00000283572
ENSG00000226286	AL008733.1	ENSG00000226286
ENSG00000279839	AL512383.1	ENSG00000279839
ENSG00000272235	AL590438.1	ENSG00000272235
ENSG00000130762	ARHGEF16	ENSG00000130762
ENSG00000272088	AL512413.1	ENSG00000272088
ENSG00000162591	MEGF6	ENSG00000162591
ENSG00000207776	MIR551A	ENSG00000207776
ENSG00000238260	AL513320.1	ENSG00000238260
ENSG00000158109	TPRG1L	ENSG00000158109
ENSG00000116213	WRAP73	ENSG00000116213
ENSG00000078900	TP73	ENSG00000078900
ENSG00000227589	AL136528.1	ENSG00000227589
ENSG00000235131	AL136528.2	ENSG00000235131
ENSG00000227372	TP73-AS1	ENSG00000227372
ENSG00000276189	TP73-AS1	ENSG00000276189
ENSG00000162592	CCDC27	ENSG00000162592
ENSG00000235169	SMIM1	ENSG00000235169
ENSG00000130764	LRRC47	ENSG00000130764
ENSG00000266075	RN7SL574P	ENSG00000266075
ENSG00000272153	AL365330.1	ENSG00000272153
ENSG00000116198	CEP104	ENSG00000116198
ENSG00000169598	DFFB	ENSG00000169598
ENSG00000198912	C1orf174	ENSG00000198912
ENSG00000236423	LINC01134	ENSG00000236423
ENSG00000233304	LINC01346	ENSG00000233304
ENSG00000226374	LINC01345	ENSG00000226374
ENSG00000284668	AL805961.1	ENSG00000284668
ENSG00000284703	AL805961.2	ENSG00000284703
ENSG00000229280	EEF1DP6	ENSG00000229280
ENSG00000235054	LINC01777	ENSG00000235054
ENSG00000284694	AL355602.1	ENSG00000284694
ENSG00000227169	Z98747.1	ENSG00000227169
ENSG00000232596	LINC01646	ENSG00000232596
ENSG00000196581	AJAP1	ENSG00000196581
ENSG00000284739	BX005132.2	ENSG00000284739
ENSG00000284674	BX005132.1	ENSG00000284674
ENSG00000231510	AL691497.1	ENSG00000231510
ENSG00000284616	AL139823.1	ENSG00000284616
ENSG00000284692	Z98259.3	ENSG00000284692
ENSG00000284666	Z98259.2	ENSG00000284666
ENSG00000260972	Z98259.1	ENSG00000260972
ENSG00000283356	Z97988.1	ENSG00000283356
ENSG00000236948	AL365255.1	ENSG00000236948
ENSG00000264341	MIR4417	ENSG00000264341
ENSG00000264101	MIR4689	ENSG00000264101
ENSG00000131697	NPHP4	ENSG00000131697
ENSG00000069424	KCNAB2	ENSG00000069424
ENSG00000116254	CHD5	ENSG00000116254
ENSG00000116251	RPL22	ENSG00000116251
ENSG00000226944	AL031847.1	ENSG00000226944
ENSG00000158286	RNF207	ENSG00000158286
ENSG00000116237	ICMT	ENSG00000116237
ENSG00000225077	LINC00337	ENSG00000225077
ENSG00000173673	HES3	ENSG00000173673
ENSG00000158292	GPR153	ENSG00000158292
ENSG00000097021	ACOT7	ENSG00000097021
ENSG00000271746	AL031848.2	ENSG00000271746
ENSG00000069812	HES2	ENSG00000069812
ENSG00000187017	ESPN	ENSG00000187017
ENSG00000265392	MIR4252	ENSG00000265392
ENSG00000231868	AL031848.1	ENSG00000231868
ENSG00000215788	TNFRSF25	ENSG00000215788
ENSG00000171680	PLEKHG5	ENSG00000171680
ENSG00000162408	NOL9	ENSG00000162408
ENSG00000253022	RNU6-731P	ENSG00000253022
ENSG00000229519	AL591866.1	ENSG00000229519
ENSG00000173662	TAS1R1	ENSG00000173662
ENSG00000204859	ZBTB48	ENSG00000204859
ENSG00000162413	KLHL21	ENSG00000162413
ENSG00000116273	PHF13	ENSG00000116273
ENSG00000041988	THAP3	ENSG00000041988
ENSG00000007923	DNAJC11	ENSG00000007923
ENSG00000228750	LINC01672	ENSG00000228750
ENSG00000284744	AL591163.1	ENSG00000284744
ENSG00000237436	AL590128.2	ENSG00000237436
ENSG00000171735	CAMTA1	ENSG00000171735
ENSG00000227950	AL590128.1	ENSG00000227950
ENSG00000237365	AL512330.1	ENSG00000237365
ENSG00000207056	RNU1-8P	ENSG00000207056
ENSG00000237402	CAMTA1-IT1	ENSG00000237402
ENSG00000237728	Z97987.1	ENSG00000237728
ENSG00000225126	AL365194.1	ENSG00000225126
ENSG00000270171	AL359881.3	ENSG00000270171
ENSG00000270035	AL359881.2	ENSG00000270035
ENSG00000269978	AL359881.1	ENSG00000269978
ENSG00000049245	VAMP3	ENSG00000049245
ENSG00000269925	Z98884.2	ENSG00000269925
ENSG00000049246	PER3	ENSG00000049246
ENSG00000236266	Z98884.1	ENSG00000236266
ENSG00000049247	UTS2	ENSG00000049247
ENSG00000049249	TNFRSF9	ENSG00000049249
ENSG00000270330	AL009183.1	ENSG00000270330
ENSG00000116288	PARK7	ENSG00000116288
ENSG00000200344	Y_RNA	ENSG00000200344
ENSG00000284747	AL034417.4	ENSG00000284747
ENSG00000284716	AL034417.3	ENSG00000284716
ENSG00000116285	ERRFI1	ENSG00000116285
ENSG00000238290	AL034417.2	ENSG00000238290
ENSG00000232848	AL034417.1	ENSG00000232848
ENSG00000229305	AL358876.1	ENSG00000229305
ENSG00000227634	LINC01714	ENSG00000227634
ENSG00000200975	RNU1-7P	ENSG00000200975
ENSG00000233645	AL358876.2	ENSG00000233645
ENSG00000251977	RNU6-991P	ENSG00000251977
ENSG00000162426	SLC45A1	ENSG00000162426
ENSG00000252254	Y_RNA	ENSG00000252254
ENSG00000142599	RERE	ENSG00000142599
ENSG00000232912	AL096855.1	ENSG00000232912
ENSG00000221083	SNORA77	ENSG00000221083
ENSG00000270282	AL096855.2	ENSG00000270282
ENSG00000234619	RPL7P11	ENSG00000234619
ENSG00000224315	RPL7P7	ENSG00000224315
ENSG00000222511	Y_RNA	ENSG00000222511
ENSG00000226545	AL357552.1	ENSG00000226545
ENSG00000228423	AL357552.2	ENSG00000228423
ENSG00000229716	RPL23AP19	ENSG00000229716
ENSG00000074800	ENO1	ENSG00000074800
ENSG00000274258	MIR6728	ENSG00000274258
ENSG00000236269	ENO1-IT1	ENSG00000236269
ENSG00000230679	ENO1-AS1	ENSG00000230679
ENSG00000201725	RNU6-304P	ENSG00000201725
ENSG00000238249	HMGN2P17	ENSG00000238249
ENSG00000232208	AL139415.1	ENSG00000232208
ENSG00000232663	AL139415.2	ENSG00000232663
ENSG00000131686	CA6	ENSG00000131686
ENSG00000265141	RN7SL451P	ENSG00000265141
ENSG00000197241	SLC2A7	ENSG00000197241
ENSG00000142583	SLC2A5	ENSG00000142583
ENSG00000252404	SCARNA16	ENSG00000252404
ENSG00000180758	GPR157	ENSG00000180758
ENSG00000228526	MIR34AHG	ENSG00000228526
ENSG00000284357	MIR34A	ENSG00000284357
ENSG00000234546	LINC01759	ENSG00000234546
ENSG00000281937	Z98044.1	ENSG00000281937
ENSG00000049239	H6PD	ENSG00000049239
ENSG00000171621	SPSB1	ENSG00000171621
ENSG00000284652	BX323043.1	ENSG00000284652
ENSG00000284693	AL928921.2	ENSG00000284693
ENSG00000252956	RNA5SP40	ENSG00000252956
ENSG00000235263	AL928921.1	ENSG00000235263
ENSG00000171612	SLC25A33	ENSG00000171612
ENSG00000231181	AL954705.1	ENSG00000231181
ENSG00000188807	TMEM201	ENSG00000188807
ENSG00000171608	PIK3CD	ENSG00000171608
ENSG00000179840	PIK3CD-AS1	ENSG00000179840
ENSG00000233268	AL691449.1	ENSG00000233268
ENSG00000231789	PIK3CD-AS2	ENSG00000231789
ENSG00000171603	CLSTN1	ENSG00000171603
ENSG00000271264	MZT1P1	ENSG00000271264
ENSG00000280113	AL357140.3	ENSG00000280113
ENSG00000178585	CTNNBIP1	ENSG00000178585
ENSG00000223989	AL357140.1	ENSG00000223989
ENSG00000162441	LZIC	ENSG00000162441
ENSG00000228150	AL357140.2	ENSG00000228150
ENSG00000173614	NMNAT1	ENSG00000173614
ENSG00000202415	RN7SKP269	ENSG00000202415
ENSG00000283611	AL357140.4	ENSG00000283611
ENSG00000265521	MIR5697	ENSG00000265521
ENSG00000241326	AL603962.1	ENSG00000241326
ENSG00000162444	RBP7	ENSG00000162444
ENSG00000130939	UBE4B	ENSG00000130939
ENSG00000224340	AL590639.1	ENSG00000224340
ENSG00000233623	PGAM1P11	ENSG00000233623
ENSG00000201746	RNU6-828P	ENSG00000201746
ENSG00000054523	KIF1B	ENSG00000054523
ENSG00000264881	MIR1273D	ENSG00000264881
ENSG00000199562	RNU6-37P	ENSG00000199562
ENSG00000264501	RN7SL731P	ENSG00000264501
ENSG00000284735	AL139424.3	ENSG00000284735
ENSG00000284642	AL139424.2	ENSG00000284642
ENSG00000142657	PGD	ENSG00000142657
ENSG00000271989	AL139424.1	ENSG00000271989
ENSG00000251503	CENPS-CORT	ENSG00000251503
ENSG00000175279	CENPS	ENSG00000175279
ENSG00000241563	CORT	ENSG00000241563
ENSG00000160049	DFFA	ENSG00000160049
ENSG00000203469	AL354956.1	ENSG00000203469
ENSG00000142655	PEX14	ENSG00000142655
ENSG00000243267	RN7SL614P	ENSG00000243267
ENSG00000130940	CASZ1	ENSG00000130940
ENSG00000272078	AL139423.1	ENSG00000272078
ENSG00000225158	HSPE1P24	ENSG00000225158
ENSG00000175262	C1orf127	ENSG00000175262
ENSG00000215785	CFL1P6	ENSG00000215785
ENSG00000120948	TARDBP	ENSG00000120948
ENSG00000277726	AL109811.4	ENSG00000277726
ENSG00000009724	MASP2	ENSG00000009724
ENSG00000271895	AL109811.3	ENSG00000271895
ENSG00000116649	SRM	ENSG00000116649
ENSG00000171824	EXOSC10	ENSG00000171824
ENSG00000226849	AL109811.1	ENSG00000226849
ENSG00000230337	AL109811.2	ENSG00000230337
ENSG00000198793	MTOR	ENSG00000198793
ENSG00000225602	MTOR-AS1	ENSG00000225602
ENSG00000253086	RNU6-537P	ENSG00000253086
ENSG00000171819	ANGPTL7	ENSG00000171819
ENSG00000207451	RNU6-291P	ENSG00000207451
ENSG00000238173	RPL39P6	ENSG00000238173
ENSG00000120942	UBIAD1	ENSG00000120942
ENSG00000238199	UBE2V2P3	ENSG00000238199
ENSG00000284646	AL031291.1	ENSG00000284646
ENSG00000224338	MTCYBP45	ENSG00000224338
ENSG00000204624	DISP3	ENSG00000204624
ENSG00000235643	LINC01647	ENSG00000235643
ENSG00000284708	AL031731.1	ENSG00000284708
ENSG00000116661	FBXO2	ENSG00000116661
ENSG00000132879	FBXO44	ENSG00000132879
ENSG00000116663	FBXO6	ENSG00000116663
ENSG00000116670	MAD2L2	ENSG00000116670
ENSG00000162490	DRAXIN	ENSG00000162490
ENSG00000177674	AGTRAP	ENSG00000177674
ENSG00000215910	C1orf167	ENSG00000215910
ENSG00000177553	AL953897.1	ENSG00000177553
ENSG00000177000	MTHFR	ENSG00000177000
ENSG00000011021	CLCN6	ENSG00000011021
ENSG00000242349	NPPA-AS1	ENSG00000242349
ENSG00000276470	NPPA-AS1_1	ENSG00000276470
ENSG00000278852	NPPA-AS1_2	ENSG00000278852
ENSG00000175206	NPPA	ENSG00000175206
ENSG00000275915	NPPA-AS1_3	ENSG00000275915
ENSG00000120937	NPPB	ENSG00000120937
ENSG00000224904	AL021155.1	ENSG00000224904
ENSG00000199347	RNU5E-1	ENSG00000199347
ENSG00000201801	RNU5E-4P	ENSG00000201801
ENSG00000116685	KIAA2013	ENSG00000116685
ENSG00000083444	PLOD1	ENSG00000083444
ENSG00000116688	MFN2	ENSG00000116688
ENSG00000270914	AL096840.1	ENSG00000270914
ENSG00000116691	MIIP	ENSG00000116691
ENSG00000202461	Y_RNA	ENSG00000202461
ENSG00000276869	MIR6729	ENSG00000276869
ENSG00000243539	RN7SL649P	ENSG00000243539
ENSG00000120949	TNFRSF8	ENSG00000120949
ENSG00000201135	RNU6-777P	ENSG00000201135
ENSG00000227875	RPL23AP89	ENSG00000227875
ENSG00000283789	MIR7846	ENSG00000283789
ENSG00000028137	TNFRSF1B	ENSG00000028137
ENSG00000263676	MIR4632	ENSG00000263676
ENSG00000225196	RPL10P17	ENSG00000225196
ENSG00000252969	SNORA70	ENSG00000252969
ENSG00000048707	VPS13D	ENSG00000048707
ENSG00000239149	SNORA59A	ENSG00000239149
ENSG00000229484	AC243836.1	ENSG00000229484
ENSG00000162496	DHRS3	ENSG00000162496
ENSG00000221340	RNU6ATAC18P	ENSG00000221340
ENSG00000276830	MIR6730	ENSG00000276830
ENSG00000272482	AC254633.1	ENSG00000272482
ENSG00000204518	AADACL4	ENSG00000204518
ENSG00000226166	AC244670.1	ENSG00000226166
ENSG00000188984	AADACL3	ENSG00000188984
ENSG00000157330	C1orf158	ENSG00000157330
ENSG00000116726	PRAMEF12	ENSG00000116726
ENSG00000116721	PRAMEF1	ENSG00000116721
ENSG00000228338	LINC01784	ENSG00000228338
ENSG00000239810	PRAMEF11	ENSG00000239810
ENSG00000231103	PRAMEF30P	ENSG00000231103
ENSG00000179172	HNRNPCL1	ENSG00000179172
ENSG00000120952	PRAMEF2	ENSG00000120952
ENSG00000243073	PRAMEF4	ENSG00000243073
ENSG00000187545	PRAMEF10	ENSG00000187545
ENSG00000204510	PRAMEF7	ENSG00000204510
ENSG00000207434	RNU6-1072P	ENSG00000207434
ENSG00000234064	PRAMEF29P	ENSG00000234064
ENSG00000232423	PRAMEF6	ENSG00000232423
ENSG00000274178	PRAMEF28P	ENSG00000274178
ENSG00000274764	PRAMEF27	ENSG00000274764
ENSG00000277058	HNRNPCL3	ENSG00000277058
ENSG00000229571	PRAMEF25	ENSG00000229571
ENSG00000277862	PRAMEF34P	ENSG00000277862
ENSG00000236179	PRAMEF35P	ENSG00000236179
ENSG00000275774	HNRNPCL2	ENSG00000275774
ENSG00000229978	PRAMEF36P	ENSG00000229978
ENSG00000233336	AC245056.1	ENSG00000233336
ENSG00000280267	PRAMEF26	ENSG00000280267
ENSG00000179412	HNRNPCL4	ENSG00000179412
ENSG00000204505	PRAMEF9	ENSG00000204505
ENSG00000279169	PRAMEF13	ENSG00000279169
ENSG00000279804	PRAMEF18	ENSG00000279804
ENSG00000250894	PRAMEF31P	ENSG00000250894
ENSG00000270601	PRAMEF5	ENSG00000270601
ENSG00000231219	PRAMEF32P	ENSG00000231219
ENSG00000207511	RNU6-443P	ENSG00000207511
ENSG00000182330	PRAMEF8	ENSG00000182330
ENSG00000237700	PRAMEF33	ENSG00000237700
ENSG00000204501	PRAMEF15	ENSG00000204501
ENSG00000228229	AC243961.1	ENSG00000228229
ENSG00000204481	PRAMEF14	ENSG00000204481
ENSG00000204480	PRAMEF19	ENSG00000204480
ENSG00000204479	PRAMEF17	ENSG00000204479
ENSG00000204478	PRAMEF20	ENSG00000204478
ENSG00000162494	LRRC38	ENSG00000162494
ENSG00000259961	AL354712.1	ENSG00000259961
ENSG00000215909	BRWD1P1	ENSG00000215909
ENSG00000162493	PDPN	ENSG00000162493
ENSG00000222952	RNA5SP41	ENSG00000222952
ENSG00000237445	AL359771.1	ENSG00000237445
ENSG00000253085	SCARNA11	ENSG00000253085
ENSG00000116731	PRDM2	ENSG00000116731
ENSG00000189337	KAZN	ENSG00000189337
ENSG00000252151	RNU6-1265P	ENSG00000252151
ENSG00000231606	AL357873.1	ENSG00000231606
ENSG00000234593	AL359873.1	ENSG00000234593
ENSG00000235829	TBCAP2	ENSG00000235829
ENSG00000175147	TMEM51-AS1	ENSG00000175147
ENSG00000171729	TMEM51	ENSG00000171729
ENSG00000204464	C1orf195	ENSG00000204464
ENSG00000215720	AL035405.1	ENSG00000215720
ENSG00000278480	AL391094.1	ENSG00000278480
ENSG00000142621	FHAD1	ENSG00000142621
ENSG00000233485	AL031283.2	ENSG00000233485
ENSG00000236045	AL031283.3	ENSG00000236045
ENSG00000228140	AL031283.1	ENSG00000228140
ENSG00000142634	EFHD2	ENSG00000142634
ENSG00000162438	CTRC	ENSG00000162438
ENSG00000142615	CELA2A	ENSG00000142615
ENSG00000215704	CELA2B	ENSG00000215704
ENSG00000132906	CASP9	ENSG00000132906
ENSG00000116138	DNAJC16	ENSG00000116138
ENSG00000251866	SCARNA21B	ENSG00000251866
ENSG00000272510	AL121992.3	ENSG00000272510
ENSG00000116771	AGMAT	ENSG00000116771
ENSG00000237301	AL121992.1	ENSG00000237301
ENSG00000235084	CHCHD2P6	ENSG00000235084
ENSG00000252417	RNU7-179P	ENSG00000252417
ENSG00000236500	CD24P1	ENSG00000236500
ENSG00000197312	DDI2	ENSG00000197312
ENSG00000215695	RSC1A1	ENSG00000215695
ENSG00000271742	AL121992.2	ENSG00000271742
ENSG00000116786	PLEKHM2	ENSG00000116786
ENSG00000237938	AL450998.3	ENSG00000237938
ENSG00000162461	SLC25A34	ENSG00000162461
ENSG00000224459	AL450998.2	ENSG00000224459
ENSG00000162460	TMEM82	ENSG00000162460
ENSG00000162458	FBLIM1	ENSG00000162458
ENSG00000224321	RPL12P14	ENSG00000224321
ENSG00000233954	UQCRHL	ENSG00000233954
ENSG00000178715	AL450998.1	ENSG00000178715
ENSG00000179743	FLJ37453	ENSG00000179743
ENSG00000065526	SPEN	ENSG00000065526
ENSG00000270620	AL034555.1	ENSG00000270620
ENSG00000116809	ZBTB17	ENSG00000116809
ENSG00000234607	AL355994.4	ENSG00000234607
ENSG00000231353	AL355994.1	ENSG00000231353
ENSG00000275503	AL355994.5	ENSG00000275503
ENSG00000224966	TBC1D3P6	ENSG00000224966
ENSG00000183888	C1orf64	ENSG00000183888
ENSG00000233078	AL355994.3	ENSG00000233078
ENSG00000173641	HSPB7	ENSG00000173641
ENSG00000186510	CLCNKA	ENSG00000186510
ENSG00000232456	AL355994.2	ENSG00000232456
ENSG00000184908	CLCNKB	ENSG00000184908
ENSG00000185519	FAM131C	ENSG00000185519
ENSG00000142627	EPHA2	ENSG00000142627
ENSG00000227959	AL451042.2	ENSG00000227959
ENSG00000224621	AL451042.1	ENSG00000224621
ENSG00000234166	ARHGEF19-AS1	ENSG00000234166
ENSG00000142632	ARHGEF19	ENSG00000142632
ENSG00000237276	ANO7L1	ENSG00000237276
ENSG00000132881	RSG1	ENSG00000132881
ENSG00000233929	MT1XP1	ENSG00000233929
ENSG00000037637	FBXO42	ENSG00000037637
ENSG00000055070	SZRD1	ENSG00000055070
ENSG00000226457	AL358794.1	ENSG00000226457
ENSG00000187144	SPATA21	ENSG00000187144
ENSG00000157191	NECAP2	ENSG00000157191
ENSG00000226029	LINC01772	ENSG00000226029
ENSG00000080947	CROCCP3	ENSG00000080947
ENSG00000206652	RNU1-1	ENSG00000206652
ENSG00000261135	AL137802.2	ENSG00000261135
ENSG00000224174	AL137802.1	ENSG00000224174
ENSG00000233421	LINC01783	ENSG00000233421
ENSG00000277344	RNU1-6P	ENSG00000277344
ENSG00000268991	FAM231B	ENSG00000268991
ENSG00000225710	AL355149.1	ENSG00000225710
ENSG00000219481	NBPF1	ENSG00000219481
ENSG00000271732	AL137798.1	ENSG00000271732
ENSG00000215908	CROCCP2	ENSG00000215908
ENSG00000283773	AL137798.3	ENSG00000283773
ENSG00000186301	MST1P2	ENSG00000186301
ENSG00000282143	AL137798.2	ENSG00000282143
ENSG00000207513	RNU1-3	ENSG00000207513
ENSG00000237847	FAM231A	ENSG00000237847
ENSG00000280114	AL021920.2	ENSG00000280114
ENSG00000236698	EIF1AXP1	ENSG00000236698
ENSG00000268869	ESPNP	ENSG00000268869
