logFC	logCPM	PValue	adj.p.value
RP11-159D12.2	-0.720977	4.31211	1.99111e-08	4.02341e-06
IER5L	2.12232	1.18477	2.26162e-08	4.50827e-06
ZFP36L2	0.660929	4.56446	2.68102e-08	5.20364e-06
ETS1	0.557188	4.7582	2.76715e-08	5.30107e-06
STK38L	0.868974	3.69577	2.95807e-08	5.59417e-06
C11orf96	2.17185	2.61917	3.2718e-08	6.03279e-06
FLT1	0.705216	5.02783	4.07921e-08	7.4287e-06
ID3	1.03679	4.02078	4.84724e-08	8.61466e-06
ZFP36	2.03958	6.00242	5.74583e-08	1.00901e-05
CYR61	1.71511	5.85012	6.40197e-08	1.08775e-05
NR4A2	4.00461	4.73536	6.45834e-08	1.08775e-05
USP34	0.50222	5.71553	6.4892e-08	1.08775e-05
MASP2	-1.34104	2.19411	6.61852e-08	1.09696e-05
DUSP2	3.95716	1.30761	6.71969e-08	1.10136e-05
BACH1	0.645446	4.43617	7.02701e-08	1.13907e-05
PPP1R15A	1.00866	5.84992	8.54687e-08	1.35564e-05
GPR4	1.64403	1.91251	9.04079e-08	1.39466e-05
LRRC8A	0.814387	3.75568	9.25858e-08	1.40797e-05
KAT2A	-0.478393	5.76934	1.02489e-07	1.54267e-05
DNAJB4	0.565466	6.22351	1.07308e-07	1.59889e-05
DOC2B	1.31187	1.97976	1.09882e-07	1.62086e-05
STOM	0.597591	5.52925	1.12166e-07	1.63818e-05
ADAMTS4	3.50631	2.82853	1.20908e-07	1.74854e-05
BCL6B	1.10276	3.74661	1.22688e-07	1.75706e-05
CRISPLD2	0.873544	3.43741	1.29717e-07	1.83987e-05
HSPD1	0.502267	6.05311	1.44973e-07	2.03667e-05
RAPGEFL1	-0.741767	3.5223	1.57728e-07	2.19495e-05
RGS2	1.99135	2.05161	1.62515e-07	2.24043e-05
SDC4	0.632354	5.35901	1.81534e-07	2.45671e-05
CIRBP	-0.419266	7.93011	1.88474e-07	2.52743e-05
NDRG1	0.752071	4.70249	2.20031e-07	2.92403e-05
IER5	1.15197	6.12071	2.49278e-07	3.28312e-05
G3BP2	0.413139	7.09279	3.35678e-07	4.34349e-05
GJA1	1.25418	2.72552	3.76696e-07	4.83187e-05
CPEB4	0.457078	6.25564	3.87639e-07	4.92936e-05
RGS5	0.465431	7.42352	3.95965e-07	4.9922e-05
RP1-309I22.2	2.18569	1.6775	4.37816e-07	5.47308e-05
DUSP5	2.10034	1.58625	4.60572e-07	5.70916e-05
SPEN	0.423276	5.84521	4.75242e-07	5.84191e-05
MAFB	0.73516	4.73763	6.05795e-07	7.2651e-05
RP11-463O12.5	1.93437	1.737	6.2341e-07	7.41607e-05
CLEC1A	2.11303	0.694961	7.16594e-07	8.38927e-05
MTCO1P5	-3.78418	1.92768	7.29423e-07	8.43525e-05
PIM1	0.953398	3.14557	7.31959e-07	8.43525e-05
RP11-87E22.2	2.14707	0.898928	7.51025e-07	8.58788e-05
MIR143HG	-1.36634	2.04065	8.1271e-07	9.22176e-05
CCDC150P1	2.76294	1.12897	8.36301e-07	9.417e-05
PHC3	0.560771	4.6724	8.8664e-07	9.9082e-05
NEDD9	1.31904	4.05767	9.08364e-07	0.000100746
ATF3	2.08219	5.87541	9.16262e-07	0.000100864
FKBP5	0.697948	7.89934	9.47895e-07	0.000103112
ZBTB10	0.709391	4.04897	9.50662e-07	0.000103112
HIPK1	0.424273	5.91516	9.5994e-07	0.000103358
KLF10	0.88382	6.66675	1.07853e-06	0.000115286
SKIL	0.694863	5.27705	1.16457e-06	0.000123587
GOLGA8B	-0.780114	3.51535	1.17892e-06	0.000124216
MCAM	0.838852	4.54307	1.32607e-06	0.000138729
NAB2	1.13191	2.29419	1.4277e-06	0.000147273
EGR1	4.14304	7.33223	1.56349e-06	0.000159626
ENC1	-0.974625	2.62584	1.5691e-06	0.000159626
AMD1	0.666339	4.70336	2.06605e-06	0.000207322
MYC	1.75149	3.55516	2.08046e-06	0.000207358
GIMAP7	-1.02353	2.57675	2.20647e-06	0.000218441
USP6	-0.48204	5.81657	2.24773e-06	0.000220064
CD93	0.629335	5.26404	2.25289e-06	0.000220064
SRSF3	0.48982	5.97247	2.27183e-06	0.000220064
RIT1	0.827613	3.19	2.29678e-06	0.000220064
OSGIN1	0.925013	3.39655	2.29746e-06	0.000220064
UGCG	0.885518	3.14633	2.44317e-06	0.000232511
RP11-309L24.4	1.69736	2.08545	2.51046e-06	0.000235871
PPTC7	0.411507	6.93927	2.58813e-06	0.00024163
PTPN14	0.480949	6.22833	2.65963e-06	0.000246743
JDP2	0.706297	3.64173	2.80761e-06	0.000257373
MSN	0.494512	5.4186	2.8091e-06	0.000257373
BCL3	1.9771	2.52513	2.86556e-06	0.000260926
FOXO3	0.448341	5.53954	2.98365e-06	0.000269436
ICAM1	2.21464	1.89982	2.99556e-06	0.000269436
WEE1	0.613513	3.91893	3.29416e-06	0.000294498
EMP1	1.06681	4.61328	3.32118e-06	0.000295125
SPOPL	0.846075	3.05132	3.48887e-06	0.00030817
RNF122	0.825991	4.67254	3.81831e-06	0.000333277
NEB	0.243476	14.1488	4.67331e-06	0.000404468
FAM160A1	0.50195	5.1937	4.69356e-06	0.000404468
ZCCHC2	0.529668	4.58614	4.71618e-06	0.000404468
NF1	0.464457	4.81342	4.90548e-06	0.00041827
FUT1	1.78258	2.34348	5.09885e-06	0.000432259
GPR116	0.431095	5.23106	5.27918e-06	0.00044499
MB21D1	2.70696	0.163705	5.52356e-06	0.000462943
TSC22D1	0.378448	7.26431	5.7198e-06	0.000476683
FLNB	0.594316	3.95797	6.19069e-06	0.000513027
TRIB1	0.617814	6.00026	6.56404e-06	0.000537923
DUSP6	-1.4034	1.68199	7.26352e-06	0.000591957
OTUD1	1.29134	7.55246	7.47993e-06	0.000606244
ADAMTSL3	0.92453	2.26916	7.54714e-06	0.000608349
SLC20A1	0.658913	4.30766	7.60999e-06	0.000610082
VSIG2	3.7975	0.132789	7.76431e-06	0.000619089
WARS	0.379006	5.64772	7.88983e-06	0.000625714
RP11-54O7.17	2.28033	0.836906	8.7288e-06	0.000688548
OSBPL7	-0.564315	5.44206	8.78575e-06	0.000689354
VEGFA	0.359049	7.41454	8.85401e-06	0.000691035
TINAGL1	0.495192	4.67934	9.38913e-06	0.000728942
IQGAP1	0.447349	5.07028	9.79948e-06	0.000752876
DMD	0.379861	8.06862	1.02386e-05	0.00078254
HELZ	0.393344	5.41784	1.05885e-05	0.00080511
ADAMTS9	0.716803	3.62709	1.0992e-05	0.000831504
SVIL	0.296538	10.9524	1.12752e-05	0.000848573
ITGA5	0.702653	3.89948	1.15555e-05	0.000860883
TAOK1	0.441316	5.43332	1.16349e-05	0.000862447
FAM46A	1.02423	2.41849	1.16983e-05	0.000862805
PLEC	0.387483	9.8622	1.19e-05	0.000873316
SIRT1	0.534955	4.0263	1.21215e-05	0.000885166
FOXO1	0.49355	4.81972	1.22842e-05	0.00089263
RSRP1	-0.429661	5.44071	1.25578e-05	0.000908042
MAPRE1	0.480845	4.55026	1.26442e-05	0.000909826
GJA4	1.3382	2.26638	1.27538e-05	0.000913257
C1orf132	-0.605892	6.02931	1.29254e-05	0.000921076
PTPRG	0.591757	3.81306	1.30097e-05	0.000922627
HIPK3	0.376365	7.7692	1.39005e-05	0.000981086
LCMT1	-0.446069	4.58082	1.41016e-05	0.000990539
WBP1	-0.962962	2.25564	1.43271e-05	0.00100161
NES	0.594246	6.18137	1.47209e-05	0.00102428
CTNNA3	0.349356	6.02607	1.49744e-05	0.00103703
DUSP1	1.14973	7.12473	1.51228e-05	0.00104241
FOSL1	2.80559	-0.0118238	1.62003e-05	0.00111149
RP11-64B16.4	2.19424	0.950753	1.62948e-05	0.0011128
SRGN	1.02948	2.78888	1.65539e-05	0.00112528
ZBTB11	0.504915	4.10928	1.68804e-05	0.00114221
COL4A1	0.406385	5.73847	1.71075e-05	0.00115229
CHORDC1	0.649975	3.43478	1.87961e-05	0.00125457
ATP8A1	0.329126	6.62691	2.12661e-05	0.00140671
RNF152	0.961078	2.36896	2.21255e-05	0.00145702
PVRL2	0.879958	2.68623	2.23979e-05	0.00146841
PER2	0.457551	4.93433	2.39685e-05	0.0015507
KMT2D	0.352262	6.65697	2.42293e-05	0.00156073
TACC1	0.424668	5.14657	2.4367e-05	0.00156278
FKBP4	0.338802	5.55636	2.58882e-05	0.00164602
LBX1-AS1	-0.379392	5.12252	2.60241e-05	0.00164756
RP11-373D23.2	4.52876	-0.192502	2.78607e-05	0.00175629
KDM7A	0.473055	5.07466	2.80756e-05	0.00176231
MSL2	0.58724	4.52732	2.99341e-05	0.00187101
LINC-PINT	0.715842	3.25393	3.0647e-05	0.00190525
ITPRIP	1.22256	2.67682	3.07402e-05	0.00190525
DLL1	1.21076	1.85531	3.25597e-05	0.00200958
YES1	0.670311	3.34581	3.45e-05	0.00212045
WNK1	0.324557	7.94838	3.4915e-05	0.00213706
PHF3	0.351745	5.78852	3.55446e-05	0.0021666
MIDN	0.634459	5.97979	3.67523e-05	0.002231
SIVA1	-0.421751	5.42157	3.86662e-05	0.00233756
HSP90AA2P	0.449074	5.56931	3.8952e-05	0.00233882
SLFN11	0.896457	2.90315	3.90041e-05	0.00233882
NRARP	1.86253	1.60158	4.05715e-05	0.00242295
VASP	0.691718	3.00016	4.1494e-05	0.00245938
CLDN12	0.476205	4.36986	4.15149e-05	0.00245938
MRPL32	-0.445349	4.48119	4.23305e-05	0.00249767
C16orf58	-0.81935	2.64778	4.26949e-05	0.00250107
SNAI1	1.77325	0.341198	4.27272e-05	0.00250107
IRF2BP2	0.34933	5.91344	4.54815e-05	0.00264133
EGR3	3.21228	2.99941	4.66828e-05	0.00270047
GIGYF2	0.377054	6.02051	4.7968e-05	0.00276397
KLF6	0.628184	5.14739	4.91402e-05	0.00282049
GIMAP6	-0.828236	2.98168	5.07211e-05	0.00289995
SLC38A2	0.422093	8.21732	5.11213e-05	0.00291155
LATS2	0.547056	4.42889	5.24448e-05	0.00297544
C16orf72	0.321557	6.01939	5.33011e-05	0.00301243
CBL	0.743655	2.71234	5.53964e-05	0.0031189
NT5C1A	0.46198	4.8429	5.81633e-05	0.00324988
SEPT1	0.792153	2.44753	5.86726e-05	0.00326596
ZYG11B	0.327257	8.121	5.89625e-05	0.00326976
GSTM2	-0.322527	5.66371	5.95753e-05	0.00329137
ALDH8A1	-1.95914	0.218922	6.28678e-05	0.00344744
EGR2	3.31003	2.90174	6.47162e-05	0.00353566
GABARAPL1	0.367839	6.57109	6.50697e-05	0.00354185
ZNF106	0.26908	11.0579	6.54292e-05	0.00354833
CES3	-0.370141	5.1224	6.67333e-05	0.0036058
AZIN1	0.360179	5.94013	6.71316e-05	0.00361408
ATXN7L2	-0.511145	4.9324	7.26317e-05	0.00389596
SLC36A2	-0.317774	6.8048	7.39685e-05	0.00395329
ITGA1	0.521361	4.35852	7.49571e-05	0.00399167
CEBPD	1.06309	4.69649	8.2943e-05	0.00440105
CHD1	0.482957	4.17252	8.71057e-05	0.00460536
HEG1	0.381603	5.03137	8.95774e-05	0.00471442
TNFRSF14	-0.76058	2.67973	8.98076e-05	0.00471442
MXD1	0.805034	3.46103	9.26261e-05	0.00484513
ZC3H12A	1.25822	1.95673	9.37644e-05	0.00488735
ERMARD	-0.475318	4.00453	9.52245e-05	0.00494597
RABEP2	0.894074	2.88482	9.56652e-05	0.00495143
ALPK3	0.413706	9.03732	9.79691e-05	0.00505295
LEMD3	0.628579	3.60041	9.86911e-05	0.00507245
USP2	0.364846	6.99629	0.000102017	0.00520708
HK2	0.5064	4.79607	0.000102732	0.00522552
LUC7L3	-0.310786	7.48963	0.000106217	0.00538424
FOS	3.11371	7.18548	0.000108146	0.00546323
POLR2A	0.492407	5.98388	0.000109398	0.00550763
COX7B	-0.291511	8.11192	0.000113287	0.00568399
BCAS2	-0.432586	5.57577	0.000113968	0.00569879
RP11-102K13.5	0.423133	6.35121	0.000120819	0.00600633
HHATL-AS1	2.19184	0.424016	0.000120933	0.00600633
DCP1A	0.474702	4.21946	0.000121409	0.00600974
DDX3Y	0.408139	4.45707	0.000124151	0.00612493
TUBB6	0.748208	2.90518	0.000125211	0.00615665
MED13	0.391881	6.15539	0.000137862	0.00673377
LATS1	0.456715	3.97351	0.00013898	0.00676599
CEP350	0.344749	6.16608	0.000143566	0.00696626
CACNG1	-0.302901	6.82893	0.00015221	0.00733741
RC3H2	0.446901	5.02121	0.000154181	0.0074082
AC013437.7	-2.78901	1.06644	0.000154747	0.00741128
SOGA1	0.651066	3.28833	0.00015761	0.00751505
MCFD2	0.299321	5.99261	0.000157933	0.00751505
CITED4	-0.51842	3.95873	0.000158574	0.00752129
CNN2	1.30783	1.30779	0.000160745	0.00759986
LTBP2	0.493599	3.92599	0.000165516	0.00780039
HSPG2	0.4784	6.37182	0.000168432	0.00791256
KIF1B	0.293976	9.53944	0.00017108	0.00801143
CDC42EP1	0.794195	2.49008	0.000174033	0.00811583
RASIP1	1.06068	3.13456	0.000175245	0.00811583
GIMAP5	0.634208	3.09907	0.000175377	0.00811583
SACS	0.337438	5.56618	0.00017551	0.00811583
OBSCN	0.316944	11.5478	0.000179606	0.00827926
GATA2	0.775203	2.42335	0.000180815	0.00829667
SRSF5	-0.293993	7.62872	0.000181108	0.00829667
FLNC	0.25223	11.9094	0.000187424	0.00855944
PIK3C2A	0.556337	3.51476	0.000193688	0.00878182
PNP	1.38354	1.19172	0.000195178	0.00878182
AMY2B	-0.452372	4.79224	0.000195542	0.00878182
LONRF2	0.33547	5.36499	0.000195575	0.00878182
UBR3	0.316715	8.21598	0.000195866	0.00878182
TSC22D2	0.413146	4.41893	0.000201646	0.00899262
MYO15A	-1.20068	1.66146	0.000201787	0.00899262
RP11-1100L3.8	3.1491	2.81235	0.000208582	0.0092241
AHNAK	0.272712	9.45555	0.000208857	0.0092241
ZNF692	-0.483175	4.117	0.000212331	0.00934953
HES1	1.1375	5.16416	0.000216676	0.00949653
NFIL3	0.931943	2.8734	0.000220814	0.00963676
TEX101	-1.57619	1.22237	0.000222307	0.00967332
NSUN5P1	-0.70876	2.50509	0.000225025	0.00975295
HELZ2	0.855319	2.05533	0.00022546	0.00975295
HNRNPA0	0.308332	5.7543	0.00022743	0.00980941
RANBP2	0.313729	6.47734	0.000228828	0.00984095
NOS1	0.311644	7.01893	0.000233329	0.0100053
PIK3IP1	-0.501926	3.74737	0.000234879	0.0100426
PLCL1	0.301322	5.86565	0.000243516	0.0103818
RP11-326I11.5	1.81179	0.309618	0.000245479	0.0104353
ATOH8	0.767738	3.2022	0.000249964	0.0105954
TIPARP	0.719895	3.5209	0.00025512	0.010783
AMZ2P1	-0.537268	3.3961	0.000256727	0.0108199
TNPO1	0.417085	5.73627	0.000260517	0.0109484
SEC31B	-0.358747	4.66075	0.000263341	0.0110356
GOLGB1	0.300241	5.85028	0.000266453	0.0111103
DLL4	0.858149	2.81547	0.000266629	0.0111103
SETD5	0.293941	5.70122	0.000268764	0.0111677
CRK	0.374292	4.60359	0.000272842	0.0113053
KIDINS220	0.417483	5.02476	0.000284165	0.0116969
MED13L	0.313981	6.29985	0.000284672	0.0116969
PPP1R12B	0.29667	8.83339	0.000287963	0.0117993
CLDN5	0.912194	3.77405	0.000298841	0.0121774
KMT2C	0.31131	6.65449	0.000302311	0.0122743
JOSD1	0.462591	4.12514	0.000302883	0.0122743
ALS2CL	-0.420728	4.7811	0.00030396	0.0122841
VPS13B	0.482774	3.97596	0.000309286	0.0124345
ID1	0.899075	4.50531	0.000314907	0.0126228
CTC-425O23.5	-0.735173	2.55304	0.000317617	0.0126969
DIP2C	0.298242	6.20203	0.000326955	0.0130349
MYH2	0.252496	14.7912	0.000332472	0.0132191
UBAP1L	-0.520875	3.45757	0.000334181	0.0132514
NEIL1	-0.582514	2.90017	0.000335835	0.0132812
MSX1	1.43813	1.40414	0.000337632	0.0133166
SETD2	0.31146	5.66732	0.000347206	0.0136577
DIO3OS	-0.718523	2.41235	0.00035417	0.0138946
LAMC1	0.304385	6.47279	0.000355296	0.0139018
TRA2B	0.384742	5.6394	0.00036086	0.0140821
TBC1D10B	0.370963	4.72846	0.000366095	0.014209
VWF	0.338028	6.3059	0.000366706	0.014209
PSMB7	-0.293693	6.33238	0.000367001	0.014209
ANKZF1	-0.346323	4.72859	0.000371988	0.0143644
ULK3	-0.341643	5.09482	0.000374323	0.0144168
ASH1L	0.319571	6.72038	0.000379839	0.0145855
PIK3CB	0.352475	5.00005	0.00038068	0.0145855
A2M	0.296028	6.82814	0.000384512	0.0146941
PLCB1	0.356293	4.72366	0.00038641	0.0147285
RP11-441O15.3	-0.63358	2.86694	0.000394639	0.0150034
NR1D1	-0.37456	5.63264	0.000400245	0.0151774
ADRA2B	0.86543	2.12938	0.000404599	0.0152961
SLK	0.281634	5.83873	0.00040545	0.0152961
LUC7L	-0.356467	5.01429	0.000410819	0.0154592
IRS2	0.57044	4.40295	0.000422379	0.0158159
LIX1L	0.348333	4.99902	0.000422442	0.0158159
MORC3	0.343745	5.1039	0.000432961	0.0161686
TET3	0.971735	1.9773	0.000435375	0.0161766
PDE11A	-0.484572	3.50698	0.000436377	0.0161766
CTB-52I2.4	0.340061	4.72665	0.000436465	0.0161766
FAM136A	-0.394502	4.24791	0.000441623	0.0163268
MMRN2	0.483056	4.22425	0.000444521	0.0163928
RNA5SP286	-1.55666	0.599507	0.00045031	0.0165237
FAM53C	0.294384	6.03803	0.000454295	0.0166285
SNRK	0.616773	3.69355	0.000458478	0.0167308
PMP22	0.497763	4.69878	0.000460031	0.0167308
DLC1	0.504094	4.05303	0.000494334	0.0179163
MYO1E	0.57948	3.18676	0.000496249	0.0179416
ATF6B	-0.431292	3.80781	0.000503335	0.0181533
RAPGEF5	0.828524	2.70723	0.000512895	0.0184183
HERC1	0.291897	7.66405	0.00051318	0.0184183
TMEM147-AS1	-0.904	1.70652	0.000516014	0.0184677
CYB561D2	-1.14906	1.21138	0.00051706	0.0184677
THBS1	1.82315	2.77175	0.000518729	0.0184826
FAM193B	-0.381246	5.00911	0.000521299	0.0185129
TBC1D9	0.94781	2.04248	0.000522092	0.0185129
PPRC1	0.564008	3.42092	0.000528525	0.0186961
CEP170	0.500159	3.91202	0.0005335	0.0187885
DDIT4	0.942194	3.82567	0.000533876	0.0187885
TFRC	0.371238	6.95364	0.000534959	0.0187885
SEMA3F	0.826136	2.12872	0.000537045	0.018817
GTPBP1	0.449043	4.34841	0.000541417	0.0189252
ARHGAP1	-0.485722	3.94126	0.000544496	0.0189879
DUSP16	0.352843	4.44073	0.000548194	0.0190717
CD83	1.91836	0.143671	0.00055309	0.0191128
HTT	0.326741	5.48621	0.000561364	0.0193434
ELL2	0.586745	3.34746	0.000562559	0.0193434
KIAA1107	1.23363	1.11553	0.000566462	0.0193772
IL6ST	0.30518	5.97986	0.000566676	0.0193772
SMARCA5	0.303734	5.45929	0.000568385	0.0193772
ENAH	0.355061	5.76312	0.000568797	0.0193772
THBD	0.946221	4.32543	0.000570163	0.019379
LRRK2	0.427561	3.85962	0.000575715	0.0195227
SDE2	0.588238	3.70925	0.000582596	0.0197086
GOLGA8A	-0.542407	3.60823	0.000583869	0.0197086
KRAS	0.503474	3.5122	0.000586751	0.0197607
ORMDL1	-0.421482	4.3682	0.000590161	0.0198209
XIRP1	0.771911	8.66606	0.000594035	0.0198699
BMI1	0.448193	4.1674	0.000595788	0.0198834
CPED1	0.347322	5.02762	0.000598678	0.0199348
ARID5B	0.416639	6.02548	0.000611646	0.0203102
TMEM175	-0.539755	3.57502	0.000614085	0.0203102
RGS16	1.85984	0.703626	0.00061651	0.0203448
MKL1	-0.46671	3.62981	0.000618925	0.0203789
ZBTB47	0.286516	6.61888	0.000620999	0.0204017
ACLY	0.493789	3.53193	0.000625773	0.0205128
PDK4	1.00837	8.88553	0.00064877	0.0211726
PPP1R15B	0.420558	4.82387	0.000650977	0.0211977
SOCS7	0.318617	5.00064	0.000653748	0.021241
TP53INP2	0.371284	6.27669	0.000660274	0.0214059
CMYA5	0.212565	12.8579	0.000686924	0.0221725
RP11-466H18.1	-0.342108	5.32347	0.000701112	0.0225104
CLK2	-0.526114	3.61312	0.000701197	0.0225104
SLC2A5	-0.272593	6.33155	0.000701971	0.0225104
DENND3	0.625253	3.05308	0.000707323	0.0226328
SFXN5	-0.464965	3.80188	0.000709697	0.0226591
SLC29A2	-0.287828	6.46089	0.000711218	0.0226591
FES	0.953935	1.71869	0.000717543	0.0228114
EFR3A	0.283054	5.90907	0.000721959	0.0229024
DDX3X	0.307413	7.52044	0.000733192	0.0232088
PLEKHG1	1.20723	2.0647	0.00074106	0.0234077
SARDH	-1.85754	-0.053886	0.000757131	0.0238133
AMMECR1L	0.519999	3.79317	0.000765027	0.0240105
TRIP12	0.264516	7.32343	0.000770271	0.0241237
AQP1	0.356712	6.27539	0.000783351	0.0244814
UTRN	0.349843	5.02346	0.000794535	0.0247784
ANP32E	0.362797	4.99596	0.000801354	0.0248858
TARBP2	-0.541346	3.06136	0.000822546	0.0254903
LRRC66	-0.658501	3.07983	0.000827746	0.0255976
NIFK	-0.556732	3.19582	0.000839088	0.0258941
SCARF2	1.44747	0.249313	0.000847805	0.0260932
RP11-270C12.3	-0.264625	7.39134	0.000849076	0.0260932
MYH14	0.296678	7.39909	0.000857337	0.0262923
GLULP4	1.34373	0.900572	0.000861264	0.0263084
USP53	0.272996	6.37708	0.000861432	0.0263084
RCAN1	0.509395	4.24721	0.000866804	0.0263433
ACSL3	0.279807	5.59401	0.000867287	0.0263433
CPD	0.386838	4.22521	0.000867931	0.0263433
IVNS1ABP	0.318071	5.86865	0.000873619	0.0264615
UAP1	0.340323	5.22407	0.000881157	0.0266351
RP11-104F15.9	-1.59643	0.096678	0.00089606	0.0270302
NBEA	0.461585	3.85819	0.000901886	0.0270365
OTUD4	0.347867	6.02743	0.000902443	0.0270365
APP	0.339159	5.9065	0.000902456	0.0270365
SRSF11	-0.258469	6.59141	0.000904755	0.0270365
AKR1C1	-0.630063	2.99088	0.000905432	0.0270365
PIN1	-0.304893	5.10928	0.00090792	0.027056
KIAA0226	-0.352048	4.8123	0.00091192	0.0270673
HSP90AB1	0.250895	9.45927	0.000911969	0.0270673
PICALM	0.3274	5.89338	0.000915391	0.0271143
PRDM2	0.291403	5.75922	0.000930945	0.0275198
RND3	0.695823	3.00873	0.000934391	0.0275551
TBX3	0.597611	3.58712	0.000935877	0.0275551
UBR5	0.313187	6.17201	0.000938304	0.0275716
CGGBP1	0.269617	5.63216	0.00094718	0.027777
ZKSCAN3	-0.829393	1.80866	0.00095579	0.0279739
CHMP3	0.270611	5.79578	0.000971263	0.0283705
HNRNPH3	0.264049	6.17324	0.000976968	0.0284807
SERF2	-0.286728	6.55874	0.000987291	0.0287249
HERC2	0.25775	6.40655	0.000996502	0.0288848
PPP2R3B	-0.291509	6.71225	0.000996704	0.0288848
TMEM81	1.86095	0.298904	0.00100015	0.0289278
ACOX2	-0.676807	3.21802	0.00100365	0.0289724
ZBTB44	0.267138	6.90299	0.00101333	0.0291946
AEBP2	0.480283	3.46883	0.00102345	0.0293675
L3MBTL1	-0.521123	3.32897	0.0010253	0.0293675
STXBP5	0.446107	3.82639	0.00102862	0.0294053
HNRNPU	0.287091	7.36292	0.00103468	0.0294281
PELI2	1.10366	1.56773	0.0010348	0.0294281
PAN2	-0.397743	5.37961	0.0010354	0.0294281
RPL35A	-0.254035	7.15526	0.00103924	0.0294805
SYNJ2	0.623148	2.59895	0.0010575	0.0298865
PPP1R27	0.280352	7.56493	0.0010576	0.0298865
EXOC3L1	-1.16785	0.755965	0.00108197	0.0304471
RPS13	-0.261958	7.21785	0.00108482	0.0304471
AAAS	-0.37544	4.7147	0.0010912	0.0305432
WISP2	-0.586435	2.62504	0.00110182	0.030782
FAM65A	0.372303	4.6086	0.00110841	0.0309078
