logFC	logCPM	PValue	adj.p.value
MASP2	-0.823576	2.12417	0.000142681	0.00519008
DLL4	-1.24365	1.88211	0.000144669	0.00524123
NR1D1	1.07221	1.99805	0.000148136	0.00531691
LINC01372	5.25066	-1.39217	0.000150098	0.00536041
CMYA5	0.618935	2.72673	0.000151458	0.00539668
WDR34	-0.829041	2.23203	0.000156834	0.00553964
CDK12	-0.615913	3.2038	0.000181078	0.00609242
CSRNP1	0.808068	2.36833	0.00018895	0.00625021
PPP2R3B	-0.781799	3.34761	0.0001891	0.00625112
TP53INP2	0.7531	2.06058	0.000202812	0.00653467
SUPT6H	-0.760734	3.10591	0.000221143	0.00695172
PTPRS	-0.73214	3.18588	0.000232172	0.0071932
TRDN	0.720192	2.61732	0.000232463	0.0071981
CHD4	-0.572669	3.3195	0.000270627	0.00796087
TRAF3IP2	0.826676	2.06027	0.000280984	0.00818029
MMRN2	-0.757454	2.21174	0.000331215	0.00914928
C16orf58	-0.925685	1.80842	0.00035864	0.00960477
VGLL2	0.935271	1.87425	0.000358767	0.0096058
ENGASE	-0.671796	2.77428	0.000376772	0.00995222
LATS2	0.665576	2.58152	0.000463205	0.0114174
ATF6B	-1.11373	0.902588	0.000467283	0.0114786
FAM65A	-0.750672	2.22549	0.000468109	0.0114894
DOC2B	-0.736188	2.65565	0.000555339	0.0128416
ANXA1	0.675895	2.93442	0.000565746	0.012996
KMT2D	-0.564555	3.94137	0.000573231	0.0131207
SOGA1	-0.615357	3.12904	0.000576677	0.0131494
ZNF575	-0.864483	1.51241	0.000582564	0.0132332
PPTC7	0.645953	2.4964	0.000656008	0.0143002
CLEC1A	0.989242	1.32275	0.000825799	0.016631
CCDC85C	-0.507933	3.60721	0.00083568	0.0167469
RNF122	0.958968	1.78139	0.000843049	0.0168415
MYH3	-0.666606	2.40504	0.0010983	0.0202034
MME	0.393481	3.6334	0.00111971	0.020458
PRKRIP1	-0.916141	1.8365	0.00112794	0.0205516
RAPGEFL1	-0.685848	2.41121	0.00115452	0.0208961
NOS1	-0.641423	2.66844	0.00117224	0.0210896
CACNG1	0.718073	2.21513	0.0012604	0.0221194
LY6G5C	-0.807244	1.77909	0.00127343	0.0222607
KCP	-0.651117	2.4866	0.00143662	0.0240796
MYH9	-0.487599	3.80723	0.00145152	0.0242447
BMP2	-0.807154	1.44178	0.00166143	0.0264739
SF3A3	-0.846606	1.86873	0.00174089	0.0273367
MYH14	-0.493312	3.63447	0.00175142	0.0274304
DGCR8	-0.726926	2.65689	0.00185468	0.0285306
DENND3	-0.391152	4.47084	0.00193254	0.0293357
MRTO4	-0.866949	1.36326	0.0019405	0.0293987
HERC2	-0.394688	3.45397	0.00194824	0.0294622
GSS	0.861336	1.97202	0.00194877	0.0294662
DOHH	-0.910137	2.05041	0.00202326	0.0301453
POLR2C	-1.21182	0.404937	0.00213287	0.0312438
CTNNA3	0.576991	3.00042	0.00217557	0.0316208
RTN2	1.21984	0.928922	0.00221748	0.0319857
CNN2	-0.75485	2.00128	0.00222993	0.0320872
ATXN7L2	-0.693475	2.12476	0.00243899	0.0339454
ANKZF1	-1.29905	0.511685	0.00246554	0.0341518
ERBB3	-0.474996	3.12732	0.00261445	0.0354954
RP11-1100L3.8	-1.64316	0.362407	0.0028538	0.037664
FOXK2	-0.436445	3.39628	0.00289069	0.0380154
LIX1L	0.954057	1.00962	0.00299402	0.0388726
SARDH	-0.539354	3.82463	0.0030039	0.0389681
CEBPD	0.606221	1.9885	0.00353033	0.0432033
RP11-446N19.1	0.882193	1.3868	0.003608	0.0437554
PJA2	0.603331	2.08954	0.00364026	0.043989
ACSL3	0.566484	2.73214	0.00371408	0.0445785
MIR143HG	-1.2317	0.578626	0.00372893	0.0446601
TMEM104	-0.857756	1.63959	0.00382541	0.0454468
GPR98	0.288654	4.47893	0.00383141	0.0454814
ARID5B	0.52517	2.42832	0.00395257	0.0463308
AC109333.10	-0.892545	1.26378	0.0040002	0.0467303
PIK3R3	-0.776055	1.31003	0.00408148	0.0473217
SLC45A3	-0.623767	2.17102	0.00412872	0.0476698
KIAA0232	0.499513	2.56479	0.00417742	0.0480709
ADAM33	-0.656455	2.91187	0.00440698	0.0497196
TXNIP	0.951575	1.4986	0.00455165	0.050773
KLF10	0.606437	2.28079	0.00455801	0.0508021
ARHGAP27	-0.483951	3.75076	0.00458527	0.0509907
TNFRSF14	-1.02958	1.04576	0.00475976	0.0522529
KLHL15	0.959718	0.724735	0.00476219	0.0522574
SULT1A1	-0.492785	2.57205	0.00524274	0.0556457
NIFK	-1.09223	1.3622	0.0053783	0.0566707
L3MBTL1	-0.389267	3.34274	0.00541369	0.0568993
KDM2A	-0.48874	3.78647	0.00547271	0.0572194
LUC7L	-0.598498	2.27262	0.00589977	0.0601587
C14orf79	-0.733779	2.32171	0.00592753	0.0603286
NR4A1	0.406761	4.1038	0.00611161	0.0614717
ZBTB38	0.283501	4.06957	0.00667181	0.0651313
AAAS	-0.678758	2.54298	0.00674615	0.0656063
GUSB	-0.680972	2.78108	0.00689074	0.0664739
ASAP2	-0.39053	3.27286	0.00692593	0.0666823
TAP1	-1.79536	0.266301	0.00693175	0.0667246
ACLY	-0.542463	2.63477	0.00715173	0.0680378
FAM193B	-0.488033	3.19404	0.00718969	0.0682546
SESN2	-0.97137	1.06655	0.00735395	0.0692421
CACNA2D1	0.348804	3.82442	0.00750436	0.0701812
AMT	-0.970707	0.57604	0.00776422	0.0717543
MIR133A1HG	1.17489	-0.00419963	0.00777542	0.0718332
LDLR	-0.554287	2.94689	0.00786224	0.072283
RAPGEF2	0.306845	4.03634	0.0079261	0.0726229
ADRA2B	-0.943755	1.87356	0.00799249	0.0729959
SORBS1	0.365737	4.10422	0.0083474	0.0749698
SEC31B	-0.336759	3.48044	0.00837113	0.0750863
FGD3	-0.382589	3.74417	0.00859613	0.0763782
SLC15A4	0.539407	3.15711	0.00873349	0.0770753
ZBTB16	0.48774	3.9826	0.00944502	0.0809643
RPL32	-2.83573	-1.29953	0.00987004	0.0832955
ZZEF1	-0.396078	3.44371	0.00997301	0.0838001
ZFP36L1	0.440543	2.92782	0.0101882	0.0848244
PLEC	-0.525066	4.12949	0.0107783	0.0877561
NAGPA	-0.834351	1.54175	0.0111392	0.0895008
TPM4	-0.515287	3.0128	0.0111562	0.0895904
RASD1	-0.740975	1.35946	0.0112142	0.0898362
HMGN3	2.91243	-1.17408	0.0115283	0.0914713
PDE11A	0.294214	3.94055	0.0117521	0.0925323
POLG	-0.729574	2.03973	0.0117619	0.0925693
SMO	-0.463308	2.5467	0.0121967	0.0947388
ANXA3	0.391869	2.87235	0.0122562	0.0950298
WBP1	-2.26695	-0.773431	0.0125381	0.096457
TUBB6	-0.789388	1.11801	0.0127169	0.0973547
ZNF239	-0.529765	2.15641	0.0127932	0.0976624
TTC31	-0.935168	1.20778	0.012813	0.0977926
UBR5	0.29323	3.93517	0.0131024	0.0993626
FAM136A	-3.79125	-1.35372	0.0132146	0.0998276
MEOX1	-0.626306	1.5243	0.0134564	0.100959
GRASP	-0.471389	2.70727	0.013714	0.102186
SNRNP70	-0.685988	1.89365	0.0137938	0.102519
EPAS1	-0.308878	3.93883	0.0140981	0.103866
CPSF2	-0.785953	1.18971	0.0142109	0.104348
PLEKHA2	-0.37364	3.05739	0.0150232	0.107886
C1orf132	0.538474	2.77992	0.0150452	0.107972
CSNK1D	-0.516764	2.73047	0.0151849	0.108592
ZFHX3	0.523497	2.7122	0.0154484	0.109714
SLC25A25	0.568148	2.73402	0.015754	0.111059
ITIH4	-0.544053	2.56149	0.0162145	0.112986
GIMAP6	0.749334	1.31003	0.0169096	0.115893
FAM160A1	0.425361	2.65204	0.0169128	0.115893
OTUD1	0.592211	1.80347	0.0169484	0.116012
TINAGL1	-0.502436	2.31854	0.0169989	0.116229
LBX1-AS1	-0.659623	1.82154	0.0170801	0.116512
RP11-309L24.4	-1.40589	0.507227	0.0171043	0.116629
OBSCN	-0.422348	3.72169	0.0171718	0.116949
MAP9	0.855404	0.953178	0.0172934	0.117451
DIP2C	-0.323193	3.21058	0.0173371	0.117637
IRF2BP2	1.04814	0.817853	0.0175408	0.118446
SLC12A2	-0.58619	1.55994	0.0180042	0.120481
C8orf4	0.643176	1.42475	0.018005	0.120481
TPT1P12	0.640748	1.3449	0.0185121	0.122494
SUCO	0.384965	3.0444	0.0186822	0.123242
FOS	0.782199	2.26298	0.018699	0.123289
ENAH	0.294145	3.79732	0.0188207	0.123808
LENG8	-0.700747	1.98721	0.0198916	0.128267
NXPE3	0.400673	2.6756	0.0200928	0.129071
SYNPO2	0.473184	2.71022	0.0201735	0.129397
SLCO4A1	-0.634035	1.77154	0.0203336	0.129985
LASP1	-0.548772	2.9079	0.0208134	0.132052
DDX3X	0.746623	1.16338	0.0209711	0.132647
XIRP2	0.45617	2.27907	0.021033	0.132961
BCL3	0.425245	2.56366	0.0212277	0.13366
PYGO1	0.637651	1.87212	0.0212982	0.133932
BACH1	0.362957	3.27411	0.022018	0.136747
ZC3H12A	-1.49609	-0.300885	0.0224067	0.138437
STIM2	0.436762	2.65982	0.0227651	0.139899
MCRS1	-0.605453	1.38198	0.0228142	0.140075
FYCO1	0.497274	2.62462	0.0230374	0.140955
GCH1	-0.67065	1.497	0.0231759	0.141562
WAPAL	-0.419347	2.63028	0.0237569	0.143661
ZNF692	-0.817115	0.794879	0.0241587	0.14516
MAMSTR	0.515806	2.16361	0.0250816	0.148509
GLULP4	0.603256	1.23406	0.0254835	0.14996
UBXN11	-0.535138	2.4558	0.0254951	0.149996
KITLG	0.488538	2.02366	0.0255288	0.150112
DLL1	-0.677671	1.21023	0.0256004	0.15035
CCDC117	0.59472	1.2374	0.0262981	0.152917
TNKS1BP1	-0.46208	3.13926	0.0263883	0.153223
GTPBP1	-0.495041	2.25895	0.0275785	0.157634
ITCH	-0.407338	2.41943	0.0275859	0.157635
SCN7A	0.360087	2.94293	0.0278511	0.158446
IRS2	-2.47773	-1.16318	0.0279535	0.158821
LBR	-0.324768	3.21312	0.0279554	0.158821
MSL2	0.601277	1.92884	0.0284734	0.160818
AQP1	-0.361935	2.84618	0.029207	0.163373
FLNB	-0.289658	3.92103	0.0293742	0.16385
PAPD7	-0.340222	2.8817	0.0295504	0.1644
RPL7	-1.06435	0.175882	0.0298243	0.165345
PCBP2	-0.515148	2.06074	0.0298871	0.165531
CSRP3	0.472725	2.27235	0.0299678	0.165816
NDUFB7	-0.663011	1.07416	0.0300134	0.165899
CRISPLD2	-0.33179	3.21444	0.0300934	0.166222
SPON2	-0.386803	3.67031	0.031414	0.170851
FRMD8	-0.547102	2.10333	0.0323021	0.173845
FNDC3B	0.27585	3.81547	0.0323545	0.174005
NDRG1	-0.310284	4.09623	0.0324804	0.174413
MLLT4	0.259807	4.01131	0.0326362	0.174963
GOLGA8B	-0.502154	2.29567	0.0328344	0.175659
PPP2R1B	0.312531	3.3369	0.0330505	0.176392
METTL17	-0.597152	1.31159	0.0335771	0.178011
LPCAT4	-0.497671	2.09434	0.0336809	0.178414
FLT1	-0.304174	3.33811	0.034806	0.181884
ASH1L	-0.643571	1.20497	0.0349935	0.182501
STOM	0.570005	1.47021	0.035529	0.184068
DNAJA1	-0.795996	0.54956	0.0357473	0.184783
RGS5	0.458976	2.60233	0.0358529	0.18511
SEPT1	-1.08264	0.146002	0.0363439	0.186661
DDX3YP3	0.581474	1.56456	0.0367856	0.18816
CYBRD1	-0.594517	1.28526	0.0370199	0.188822
SLC7A2	0.526559	1.67032	0.0377839	0.191104
VASP	-0.434184	2.85446	0.0379414	0.191596
AHNAK	-0.399532	2.40713	0.0400917	0.198134
AMZ2P1	0.546072	1.78129	0.0402189	0.198484
ALPK3	-0.359525	2.48451	0.0419933	0.203577
TLN2	-0.230955	4.14948	0.0424102	0.204746
LRRC14	-0.974293	0.379401	0.0428866	0.206151
PICALM	0.274855	3.73019	0.0429132	0.206232
ZYX	-1.12374	0.208981	0.0431472	0.206778
FOSL2	0.676257	1.41081	0.0431984	0.206959
AC083843.1	-1.45029	-0.843546	0.0432231	0.207023
PPRC1	-0.445071	2.77493	0.0435381	0.207914
ENC1	-0.487117	1.42533	0.043552	0.207944
ITGA5	-0.336535	2.92353	0.043924	0.208981
FBXL14	-0.483114	1.67782	0.0441526	0.209662
CYB561D2	-1.0046	-0.248888	0.0442415	0.209918
TMEM147-AS1	-0.889648	0.132866	0.044402	0.210403
GIGYF2	-0.249376	3.55284	0.0449641	0.211964
LINC00657	0.711906	1.08131	0.0450042	0.212073
GPR137C	-0.755234	1.17536	0.0458594	0.214589
NCOA3	-0.429964	2.19768	0.0461006	0.215221
PDE4B	0.214358	4.44993	0.0474993	0.219357
SUV420H1	0.327575	3.09009	0.0475364	0.219404
UBAP1L	-0.589501	1.56797	0.0485515	0.222342
IVNS1ABP	-0.436543	2.07593	0.0493328	0.224426
EXOC5	-0.568814	2.06149	0.0495793	0.225
CTC-425O23.5	-1.03132	-0.0208092	0.0504935	0.227332
SLC4A7	0.319053	3.09951	0.0510021	0.228622
PPP1R27	1.47332	-0.61441	0.0514768	0.229867
TBCC	-3.85561	-1.91961	0.051924	0.231152
SENP2	-0.449221	2.72928	0.052333	0.232179
CDC42EP1	-0.53437	2.37204	0.0533252	0.234912
BBS9	0.25707	3.52352	0.0540297	0.23677
RP11-373D23.2	-1.88349	-0.929491	0.0543462	0.237589
RP11-421F16.3	0.81915	0.50314	0.0544109	0.237766
APOLD1	-0.400564	1.92019	0.0550587	0.239454
G6PD	-0.733891	0.601541	0.0551655	0.239811
IPO7	-0.385535	2.73029	0.0559643	0.241941
HSP90AB1	0.5836	1.90987	0.0562549	0.242653
LINC01091	0.445538	2.02092	0.0579166	0.246786
PLK3	-0.525734	1.50599	0.0586927	0.248837
ATP5O	-0.62037	1.32313	0.0588527	0.249274
IQGAP1	-0.269556	3.48732	0.0601347	0.252496
HERC1	-0.249237	3.48347	0.0607084	0.254008
APP	0.238906	3.90615	0.0609067	0.254548
UBL3	0.772411	1.33481	0.0612569	0.255334
USP2	0.330984	2.67453	0.0619997	0.257067
IER5	0.472617	1.67974	0.0624554	0.258312
CES3	-0.443931	2.21477	0.0628796	0.259342
PITPNB	0.425517	1.90081	0.0640933	0.262474
HSPH1	0.378316	2.00178	0.0644781	0.263427
DNAJA4	-0.389188	2.19306	0.0651825	0.265075
C1orf127	-0.371825	3.49747	0.0655389	0.265828
BMI1	0.590091	1.51479	0.066084	0.267104
CA8	0.4031	2.14966	0.0660893	0.267104
CLDN5	-0.466388	2.25959	0.0662663	0.267509
NIT1	-0.803583	0.554594	0.0664117	0.267826
ETS2	0.339615	2.45991	0.0671738	0.269611
TMEM132A	-0.397468	1.80158	0.0673657	0.27003
SRSF3	-0.399637	1.93421	0.0675546	0.270366
HSPD1	-0.538077	1.29391	0.0675809	0.270431
BOLL	0.494263	2.28883	0.0679753	0.271319
RBM28	-0.351475	2.45723	0.068663	0.272781
PPP1R15A	0.46632	1.63854	0.0690678	0.273692
DNAJC7	-0.48543	2.16347	0.0711253	0.278346
GABARAPL1	0.897451	0.329211	0.0712932	0.27872
RP11-255P5.3	0.478025	1.36464	0.0716375	0.279503
DDX11	-0.302195	2.77275	0.071641	0.279503
IK	-0.630863	0.849298	0.0717059	0.279686
GGT5	-0.436469	1.9571	0.0717314	0.279718
RICTOR	0.293805	3.09132	0.072374	0.281084
SEC24A	-0.648833	0.662597	0.0733526	0.283357
ZSWIM1	-0.543009	1.23095	0.0747319	0.286442
EML4	0.324554	2.5733	0.0748713	0.286775
POLR2A	-0.400646	2.8234	0.075091	0.287161
MKL1	-0.267489	3.32528	0.0756369	0.288394
NRIP1	0.599665	1.08371	0.0761858	0.28967
PSMA4	-0.609356	0.953812	0.0762051	0.289684
KIAA0226	-0.348437	2.7826	0.0763056	0.289892
TNK2	-0.36002	3.75812	0.0764652	0.290193
NRARP	-0.706672	1.41687	0.0778596	0.293289
SERPINH1	-0.432517	2.96706	0.0780255	0.293598
GJA4	-0.464083	1.39891	0.07855	0.294791
C1QC	-0.508203	1.73477	0.0788839	0.295388
MYO1E	-0.291457	2.74333	0.0798212	0.297236
COX7C	0.611042	1.12522	0.0824573	0.302951
SEMA4C	-0.373236	2.92425	0.0828156	0.303669
PLEKHG1	0.363525	2.48461	0.0834797	0.305203
KDM6B	0.379012	2.61374	0.0841174	0.306403
TOB1	-1.66883	-1.23246	0.0848699	0.307981
NHSL1	0.281974	3.20879	0.084969	0.308146
HNRNPA0	0.436469	1.57462	0.0854398	0.309182
DUSP6	-0.911742	0.156572	0.0890172	0.316161
ACYP2	0.374756	2.35631	0.0937992	0.325881
RPL27A	-0.852607	-0.301664	0.0962418	0.330445
COX7A1	0.508445	1.08223	0.096694	0.331393
GPR116	0.251029	3.2004	0.0970089	0.331933
USHBP1	-0.945735	0.467493	0.0981367	0.334211
OBSL1	-0.522033	1.71602	0.0993738	0.336466
ANTXR2	0.26991	2.82423	0.0997454	0.337149
MRPL27	-1.86708	-0.9733	0.100664	0.339013
CCDC150P1	-0.538636	0.844306	0.100939	0.339421
EPHA2	-0.369556	2.50198	0.101085	0.33967
PIK3CA	-0.566315	0.744909	0.101614	0.340726
SOCS6	0.307668	2.59552	0.104542	0.345905
DBP	-0.50816	0.706663	0.104946	0.3466
CHORDC1	-0.549501	1.07236	0.105207	0.347087
RP11-463O12.5	-1.43345	-0.587983	0.106103	0.348558
TAL1	-0.396324	2.21201	0.10652	0.349301
NES	-0.418295	1.60247	0.108027	0.35216
GEM	0.418138	1.88691	0.108488	0.352996
EFR3B	-0.282876	2.83958	0.110166	0.356041
SVIL	0.176263	4.32863	0.110241	0.356119
BPHL	-0.261422	2.84404	0.110399	0.356378
C14orf166	-0.324759	1.9447	0.110517	0.356527
HM13	-0.303065	3.19479	0.110925	0.357171
ALG1	-0.531055	1.76778	0.112821	0.360791
EXOC3L1	-1.2013	-0.00380225	0.113384	0.361694
SKIL	0.294625	2.55313	0.114024	0.362819
IER5L	-1.21588	-0.792157	0.1156	0.365523
GOLGA8A	-0.343626	1.7273	0.115739	0.365744
PHPT1	-1.63466	-1.68263	0.115766	0.36579
AHCYL2	0.209629	4.0019	0.115983	0.36621
TXLNG	0.478609	1.0757	0.116043	0.366335
ITPRIP	0.274862	2.84452	0.117319	0.368679
MTMR9LP	-0.412507	1.50756	0.118444	0.370564
TNFRSF10B	-0.446203	2.29207	0.118907	0.371256
AC004453.8	-0.729119	0.462296	0.118964	0.371334
ARPC2	-0.275184	3.42396	0.119007	0.371394
LPL	0.320567	2.52197	0.119578	0.372288
PELI2	2.98629	-1.79055	0.119801	0.37273
TSC22D2	0.244817	2.90753	0.120436	0.373887
PZP	0.278294	2.40588	0.12059	0.374111
JUND	-1.7489	-1.2039	0.121906	0.376686
GSTP1	-0.384538	1.79658	0.122165	0.377084
PVRL2	-0.284827	3.05468	0.122926	0.37843
TXNDC16	0.397683	1.38199	0.12323	0.378945
ETS1	0.244762	2.77335	0.123287	0.379035
ATF3	0.302174	3.06272	0.124998	0.382134
NR4A3	-0.390155	1.60829	0.125226	0.382448
KIAA1107	0.437083	1.16153	0.1263	0.384221
GNE	-0.331665	2.40461	0.127872	0.386974
APOE	-0.812018	0.535956	0.129197	0.389029
XIRP1	0.438177	1.58965	0.129671	0.389951
YES1	-0.557378	0.742287	0.129897	0.390317
RC3H2	-0.263089	2.36978	0.130633	0.391481
KAT2A	-0.813763	-0.132464	0.13115	0.392139
ATOH8	0.281046	3.37258	0.133247	0.395367
C11orf84	-0.463279	1.93031	0.133462	0.395723
PTMS	1.03112	-0.153556	0.134813	0.39792
TIPARP	0.614826	0.973204	0.136029	0.399899
THG1L	-0.349718	2.09918	0.136272	0.400381
TEK	0.411654	1.16554	0.136785	0.401334
PIM1	-0.34664	1.85118	0.138672	0.404383
ACTR3	-0.3345	2.07541	0.139097	0.405068
IL15	0.335627	2.6744	0.139485	0.405546
SRSF11	-0.281777	2.54029	0.141485	0.408685
SIVA1	-0.440276	1.59484	0.143101	0.411233
RP11-864N7.2	-1.22435	-0.621804	0.144647	0.413839
CCNG2	-0.277804	2.46858	0.144751	0.414035
AKAP12	-0.241807	2.90587	0.144834	0.414117
CDKN1A	0.518252	1.6232	0.145264	0.41468
SDE2	-0.564011	0.955784	0.146576	0.416636
HSPA1B	0.509879	0.691614	0.14665	0.416734
CPD	-0.256817	3.00099	0.147065	0.417396
HECA	0.366469	1.67304	0.147611	0.41811
NUDT3	0.419523	1.42155	0.148241	0.41905
MSANTD4	-0.344085	1.91704	0.148356	0.419276
TBL2	-0.372074	2.12833	0.148537	0.41947
BLVRB	-0.632623	0.794188	0.148745	0.419759
ADAMTS9	0.191261	3.47028	0.148839	0.419863
PTPN11	-0.506408	0.685061	0.150496	0.422341
AZIN1	-0.252631	2.82805	0.153484	0.426819
MTMR12	-0.311208	1.71246	0.153679	0.42707
RSRP1	-0.590939	0.271381	0.154372	0.428288
NAB2	-0.686654	0.562703	0.155944	0.430576
CHRND	-0.4277	1.28311	0.15703	0.432165
PIK3IP1	-1.23057	-0.758576	0.157098	0.432244
HMOX1	-0.323038	2.25036	0.159146	0.435255
RP11-1334A24.5	-0.487978	0.744373	0.159891	0.436252
DHRS3	0.418505	2.3609	0.159936	0.436328
GIMAP8	-0.335062	1.76424	0.160375	0.436987
ADAMTS13	-0.279574	2.28512	0.160709	0.437611
MCFD2	-0.404706	0.998381	0.161707	0.438967
FOXN3	0.193099	3.60292	0.162471	0.439946
AGBL1	-0.334693	1.71356	0.162599	0.44014
ECHDC2	0.222707	2.78074	0.162853	0.440408
FERMT2	-0.25433	3.37115	0.164575	0.442658
AGL	0.240455	2.52426	0.164612	0.442692
RNF152	-0.258272	2.46589	0.164824	0.443031
UGCG	-0.518222	1.52586	0.166203	0.444934
SFXN5	-0.177633	4.25651	0.167012	0.446026
ALS2CL	-0.198866	3.49001	0.167286	0.446419
CX3CL1	-0.306036	2.26867	0.16921	0.449519
VWF	-0.18963	3.31236	0.169426	0.449827
FOSL1	-0.390201	1.54113	0.170667	0.451327
TMED4	0.437863	1.28278	0.170842	0.451573
LRRC32	-0.300965	2.31397	0.171729	0.452966
DIO3OS	-0.493416	1.16079	0.173944	0.455785
MOB3C	0.730626	-0.0893616	0.175436	0.457835
IBA57	-0.362474	1.98812	0.176432	0.459039
FAM46A	0.399312	1.93213	0.17772	0.460885
TRA2B	-0.26936	2.79828	0.179017	0.46276
RP11-87E22.2	-0.314182	1.62275	0.179042	0.462801
SLFN11	0.239297	2.91946	0.180407	0.464445
TBC1D9	0.321662	2.45427	0.1807	0.464809
SRGN	0.443666	1.04377	0.180708	0.464817
LTN1	-0.29906	2.15598	0.181925	0.466377
ULK3	-0.565029	1.18108	0.181994	0.466453
FLNC	0.24682	2.8271	0.182079	0.466599
CIR1	-0.399407	1.34844	0.182456	0.467024
CIRBP	-0.25328	2.59525	0.182727	0.467442
PTPRB	0.21013	3.03157	0.183352	0.468194
ZNF106	0.264131	2.59538	0.183618	0.468572
ZBTB10	2.03206	-1.60049	0.187137	0.473594
RGS16	-0.424386	1.21607	0.1886	0.475316
KIF1B	0.226975	3.41045	0.189599	0.476747
WARS	-0.227612	2.66567	0.190242	0.477374
DNAJB4	1.75033	-1.77146	0.191183	0.478591
MAFF	0.226934	2.50978	0.191284	0.478721
UBE2E3	0.263165	2.52177	0.191395	0.478836
LINC00707	-0.441491	1.3191	0.191472	0.478923
NR6A1	0.5459	0.580465	0.192616	0.480429
TSC22D1	0.305825	1.99174	0.194248	0.482606
RP11-426D19.1	-0.363341	1.38704	0.195468	0.484222
TMEM176B	-0.413274	0.928953	0.19581	0.484691
PIAS1	-0.179968	3.16034	0.197932	0.48734
RMND5A	-0.248235	2.55857	0.200515	0.490613
RPS24	-0.356639	1.85504	0.20084	0.491087
XRN1	-0.204974	3.25509	0.201264	0.491591
BTN3A1	0.271119	2.12348	0.201619	0.491957
MAD2L2	-0.392153	1.35224	0.201901	0.492315
ARID5A	-0.25142	2.50192	0.204177	0.495602
ICAM1	-0.318767	2.02864	0.205427	0.497295
CXCR4	-0.284574	1.74336	0.205794	0.497756
TPCN1	-0.257422	3.23925	0.205882	0.497833
AMD1	-0.239314	2.34477	0.206141	0.497979
NEDD9	-0.214168	2.74957	0.207672	0.499775
TTN	-0.204865	3.2818	0.207805	0.499926
ARRDC4	0.424912	1.33205	0.208666	0.500953
SERF2	1	-0.817463	0.209654	0.502072
ATP5G2	0.310346	2.17096	0.211023	0.503633
AEBP2	-0.208661	2.72503	0.212141	0.505125
